Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-02 22:45,Short Exit,1.06645,34884,37169.94852,-32.09,-0.09,3.84,0.01,-32.09,-0.09,-32.09,0.00
1,Entry short,2023-01-02 22:15," | F:75,49,2,1,2.29,0,0,52.18,0,0,29.63,1,80,56.75,97.8,10.5,27.4",1.06553,34884,37169.94852,-32.09,-0.09,3.84,0.01,-32.09,-0.09,-32.09,0.00
2,Exit short,2023-01-02 23:45,Short Exit,1.06589,23438,24998.26766,15.94,0.06,15.94,0.06,-6.8,-0.03,-16.16,0.00
2,Entry short,2023-01-02 23:10," | F:75,72,3,1,0.78,0,0,60.12,0,0,46.34,1,80,43.37,99.4,11.4,36.67",1.06657,23438,24998.26766,15.94,0.06,15.94,0.06,-6.8,-0.03,-16.16,0.00
3,Exit short,2023-01-03 14:00,Short Exit,1.0526,57692,60758.3298,31.73,0.05,31.73,0.05,-22.5,-0.04,15.58,0.00
3,Entry short,2023-01-03 13:40," | F:70,10,1,1,0.76,0,0,40.01,0,0,53.12,1,40,50,96.2,8,36.67",1.05315,57692,60758.3298,31.73,0.05,31.73,0.05,-22.5,-0.04,15.58,0.00
4,Exit short,2023-01-10 04:10,Short Exit,1.07412,55556,59640.47712,-33.33,-0.06,16.11,0.03,-33.33,-0.06,-17.76,0.00
4,Entry short,2023-01-10 03:45," | F:55,61,0,1,0.79,1,1,60.25,0,0,28.28,1,80,47.51,99.2,13.8,40.86",1.07352,55556,59640.47712,-33.33,-0.06,16.11,0.03,-33.33,-0.06,-17.76,0.00
5,Exit short,2023-01-10 08:30,Short Exit,1.07334,26786,28766.28898,15.8,0.05,15.8,0.05,-9.91,-0.03,-1.95,0.00
5,Entry short,2023-01-10 07:50," | F:55,114,0,1,0.77,1,1,58.54,0,0,24.93,1,100,41.45,96.2,5.2,54.9",1.07393,26786,28766.28898,15.8,0.05,15.8,0.05,-9.91,-0.03,-1.95,0.00
6,Exit short,2023-01-10 14:40,Short Exit,1.07214,28571,30664.39717,32.29,0.11,32.29,0.11,-25.14,-0.08,30.33,0.00
6,Entry short,2023-01-10 13:10," | F:60,12,1,1,0.93,1,1,42.86,0,0,12.46,1,60,37.55,98.2,3.7,73.62",1.07327,28571,30664.39717,32.29,0.11,32.29,0.11,-25.14,-0.08,30.33,0.00
7,Exit short,2023-01-10 16:50,Short Exit,1.07332,23256,24993.45576,32.33,0.13,32.33,0.13,-4.88,-0.02,62.66,0.00
7,Entry short,2023-01-10 16:35," | F:60,261,2,1,0.65,1,1,65.59,0,0,32.39,1,60,39.99,98.6,14.3,23.56",1.07471,23256,24993.45576,32.33,0.13,32.33,0.13,-4.88,-0.02,62.66,0.00
8,Exit short,2023-01-12 10:15,Short Exit,1.07547,55556,59780.47824,31.67,0.05,31.67,0.05,-27.22,-0.05,94.32,0.00
8,Entry short,2023-01-12 09:40," | F:55,19,1,1,0.44,1,1,46.26,1,0,20.37,1,100,41.54,96.8,3.6,22.14",1.07604,55556,59780.47824,31.67,0.05,31.67,0.05,-27.22,-0.05,94.32,0.00
9,Exit short,2023-01-13 17:10,Short Exit,1.08314,39474,42723.49968,-32.37,-0.08,11.05,0.03,-32.37,-0.08,61.95,0.00
9,Entry short,2023-01-13 17:05," | F:70,47,2,1,0.55,0,0,63.63,1,0,25,1,80,42.7,84.4,16.9,45.49",1.08232,39474,42723.49968,-32.37,-0.08,11.05,0.03,-32.37,-0.08,61.95,0.00
10,Exit long,2023-01-17 17:25,Long Exit,1.08264,38961,42148.78902,31.95,0.08,31.95,0.08,-9.35,-0.02,93.9,0.00
10,Entry long,2023-01-17 17:20," | F:75,57,2,0,0.34,0,0,32.94,1,0,38.03,1,80,50.18,98.6,14.1,42.55",1.08182,38961,42148.78902,31.95,0.08,31.95,0.08,-9.35,-0.02,93.9,0.00
11,Exit long,2023-01-20 02:45,Long Exit,1.08306,38462,41688.9618,-32.31,-0.08,5.38,0.01,-32.31,-0.08,61.59,0.00
