Trade #,Day,Session,Entry model,Entry method,Liquidity Distance,+ R (%),Potential R,Win,Loss,BE,RSI,Candle Close,News,Entry Type,Trade Score,Close,Open,SL Pips,Zone Type
1,Thursday,New York,S&D Retest,Candle Close,1.4,3%,3%,,,,Between,Bullish,No,Default,B,"June 12, 2025 23:35 (GMT+3)","June 12, 2025 22:40 (GMT+3)",6.4,Demand
2,Monday,"London, New York",S&D Retest,Candle Close,5.2,-1%,2.5%,,Loss,,Between,Bullish,No,Default,B+,"June 9, 2025 21:50 (GMT+3)","June 9, 2025 16:35 (GMT+3)",9.3,Demand
3,Wednesday,New York,S&D Retest,Candle Close,3.1,-1%,2.5%,,Loss,,Between,Bullish,No,Default,A,"June 11, 2025 18:50 (GMT+3)","June 11, 2025 18:35 (GMT+3)",9.3,Demand
4,Tuesday,London,S&D Retest,Candle Close,4.2,-1%,3%,,Loss,,Between,Beraish,No,Default,B+,"June 17, 2025 14:30 (GMT+3)","June 17, 2025 13:00 (GMT+3)",5.7,Demand
5,Tuesday,London,S&D Retest,Candle Close,1,-1%,2%,,Loss,,Between,Beraish,No,Default,B+,"June 24, 2025 15:35 (GMT+3)","June 24, 2025 15:10 (GMT+3)",9.9,Demand
6,Thursday,"London, New York",S&D Retest,Candle Close,4,-1%,4.5%,,Loss,,Between,Bullish,No,Default,A,"June 26, 2025 16:10 (GMT+3)","June 26, 2025 15:45 (GMT+3)",4.5,Supply
7,Monday,"London, Tokyo",S&D Retest,Candle Close,2,-1%,4.5%,,Loss,,Between,Bullish,No,Default,A+,"July 7, 2025 10:20 (GMT+3)","July 7, 2025 9:40 (GMT+3)",4.5,Demand
8,Wednesday,"London, Tokyo",S&D Retest,Candle Close,6.7,-1%,2%,,Loss,,Between,Beraish,No,Default,C+,"July 9, 2025 12:20 (GMT+3)","July 9, 2025 10:50 (GMT+3)",12.3,Demand
9,Wednesday,London,S&D Retest,Candle Close,3.2,-1%,3%,,Loss,,Between,Beraish,No,Default,A,"July 9, 2025 15:20 (GMT+3)","July 9, 2025 14:40 (GMT+3)",6.2,Supply
10,Thursday,New York,S&D Retest,Candle Close,3.9,3%,3%,,,,Between,Beraish,No,Default,B,"July 10, 2025 18:45 (GMT+3)","July 10, 2025 18:05 (GMT+3)",6.8,Demand
11,Thursday,New York,S&D Retest,Candle Close,1.2,4.5%,4.5%,,,,Between,Beraish,No,Default,B+,"July 10, 2025 21:00 (GMT+3)","July 10, 2025 20:50 (GMT+3)",2.5,Demand
12,Monday,"London, New York",S&D Retest,Candle Close,3.6,-1%,2.5%,,Loss,,Between,Bullish,No,Default,B+,"July 14, 2025 17:40 (GMT+3)","July 14, 2025 15:30 (GMT+3)",9,Demand
13,Wednesday,Tokyo,S&D Retest,Candle Close,2,2.5%,2.5%,,,,Between,Beraish,No,Default,B,"July 16, 2025 9:00 (GMT+3)","July 16, 2025 8:25 (GMT+3)",10.2,Demand
14,Tuesday,"London, Tokyo",S&D Retest,Candle Close,4.3,-1%,3%,,Loss,,Between,Bullish,No,Default,B+,"July 29, 2025 11:50 (GMT+3)","July 29, 2025 10:20 (GMT+3)",6.8,Supply
,,,,,,,,,,,,,No,,,,,,
