Trade #,+ R (%),BE,Candle Close,Close,Day,Entry Type,Entry method,Entry model,Liquidity Distance,Loss,News,Open,Potential R,RSI,SL Pips,Session,Trade Score,Win,Zone Type
1,3%,,Bullish,"January 2, 2024 11:10 (GMT+2)",Tuesday,Flip,Candle Close,S&D Retest,66,,No,"January 2, 2024 10:30 (GMT+2)",3%,Between,95,London,A,,Demand
2,3%,,Beraish,"January 3, 2024 7:20 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,54,,No,"January 3, 2024 7:15 (GMT+2)",3%,Between,30,"Sydney, Tokyo",B,,Demand
3,-1%,,Bullish,"January 4, 2024 15:20 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,34,Loss,No,"January 4, 2024 14:05 (GMT+2)",2%,Between,168,"London, New York",A,,Demand
4,2.5%,,Beraish,"January 5, 2024 15:30 (GMT+2)",Friday,Default,Candle Close,S&D Retest,28,,No,"January 5, 2024 15:20 (GMT+2)",2.5%,Between,140,"London, New York",A+,,Supply
5,2%,,Bullish,"January 9, 2024 15:35 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,42,,No,"January 9, 2024 15:25 (GMT+2)",2%,Between,181,"London, New York",A+,,Demand
6,4.5%,,Beraish,"January 9, 2024 22:00 (GMT+2)",Tuesday,BOC,Candle Close,S&D Retest,72,,No,"January 9, 2024 21:45 (GMT+2)",4.5%,Between,54,New York,A,,Demand
7,4.5%,,Bullish,"January 10, 2024 1:30 (GMT+2)",Tuesday,BOC,Candle Close,S&D Retest,155,,No,"January 9, 2024 22:15 (GMT+2)",4.5%,Between,54,"New York, Sydney",A,,Supply
8,3%,,Bullish,"January 10, 2024 19:50 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,20,,No,"January 10, 2024 19:00 (GMT+2)",3%,Between,98,New York,A,,Supply
9,-1%,,Beraish,"January 11, 2024 10:45 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,4,Loss,No,"January 11, 2024 10:10 (GMT+2)",2%,Between,147,London,A,,Demand
10,-1%,,Beraish,"January 11, 2024 13:20 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,7,Loss,No,"January 11, 2024 12:40 (GMT+2)",3%,Between,112,London,A,,Supply
11,-1%,,Beraish,"January 15, 2024 11:35 (GMT+2)",Monday,Default,Candle Close,S&D Retest,6,Loss,No,"January 15, 2024 11:05 (GMT+2)",2%,Between,184,London,A,,Demand
12,-1%,,Bullish,"January 15, 2024 16:30 (GMT+2)",Monday,Default,Candle Close,S&D Retest,6,Loss,No,"January 15, 2024 15:30 (GMT+2)",4.5%,Between,66,"London, New York",A,,Demand
13,-1%,,Bullish,"January 16, 2024 17:35 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,43,Loss,No,"January 16, 2024 17:10 (GMT+2)",2%,Between,172,"London, New York",B,,Supply
14,2.5%,,Beraish,"January 17, 2024 10:45 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,60,,No,"January 17, 2024 10:00 (GMT+2)",2.5%,Between,137,London,A,,Supply
15,4.5%,,Beraish,"January 17, 2024 15:30 (GMT+2)",Wednesday,Flip,Candle Close,S&D Retest,29,,No,"January 17, 2024 15:30 (GMT+2)",4.5%,Between,86,"London, New York",A,,Demand
16,-1%,,Bullish,"January 18, 2024 13:40 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,78,Loss,No,"January 18, 2024 11:35 (GMT+2)",3%,Between,101,London,A,,Supply
17,-1%,,Bullish,"January 22, 2024 23:40 (GMT+2)",Monday,Default,Candle Close,S&D Retest,15,Loss,No,"January 22, 2024 23:00 (GMT+2)",4.5%,Between,50,"New York, Sydney",A,,Supply
18,-1%,,Beraish,"January 23, 2024 11:50 (GMT+2)",Tuesday,BOC,Candle Close,S&D Retest,19,Loss,No,"January 23, 2024 9:25 (GMT+2)",2%,Between,251,London,A,,Demand
19,3%,,Bullish,"January 26, 2024 9:00 (GMT+2)",Friday,Default,Candle Close,S&D Retest,27,,No,"January 26, 2024 7:55 (GMT+2)",3%,Between,52,"London, Tokyo",A,,Supply
20,-1%,,Bullish,"January 26, 2024 11:00 (GMT+2)",Friday,BOC,Candle Close,S&D Retest,101,Loss,No,"January 26, 2024 9:15 (GMT+2)",2.5%,Between,112,London,A,,Demand
21,-1%,,Beraish,"January 26, 2024 17:00 (GMT+2)",Friday,BOC,Candle Close,S&D Retest,99,Loss,No,"January 26, 2024 15:40 (GMT+2)",2%,Between,333,"London, New York",A,,Demand
22,-1%,,Bullish,"January 29, 2024 7:25 (GMT+2)",Monday,Default,Candle Close,S&D Retest,29,Loss,No,"January 29, 2024 7:10 (GMT+2)",3%,Between,96,"Sydney, Tokyo",A,,Demand
