Trade #,Type,Date and time,Signal,Price CAD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-04 16:55,Long Exit,1.63266,55556,90565.72452,101.19,0.15,101.19,0.15,-1.22,0.00,101.19,0.00
1,Entry long,2023-01-04 16:45, | F:score=60 | F:fresh=9 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.76 | F:is_accuracy=1 | F:trend=0 | F:rsi=45.4 | F:htf_trend=0 | F:rvol=0 | F:adx=16.06 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=38.93 | F:liquidity_distance=93.8 | F:liquidity_spread=16 | F:return_strength=100,1.63017,55556,90565.72452,101.19,0.15,101.19,0.15,-1.22,0.00,101.19,0.00
2,Exit short,2023-01-05 09:00,Short Exit,1.62456,159091,258658.1024,152.26,0.08,152.26,0.08,-15.34,-0.01,253.45,0.00
2,Entry short,2023-01-05 08:45, | F:score=70 | F:fresh=33 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.77 | F:is_accuracy=0 | F:trend=0 | F:rsi=54.95 | F:htf_trend=0 | F:rvol=0 | F:adx=17.36 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50.86 | F:liquidity_distance=94.4 | F:liquidity_spread=12.6 | F:return_strength=16.67,1.62585,159091,258658.1024,152.26,0.08,152.26,0.08,-15.34,-0.01,253.45,0.00
3,Exit long,2023-01-09 10:00,Long Exit,1.62923,58333,94899.62438,102.77,0.15,102.77,0.15,-26.89,-0.04,356.23,0.00
3,Entry long,2023-01-09 09:35, | F:score=75 | F:fresh=43 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.43 | F:is_accuracy=1 | F:trend=1 | F:rsi=43.38 | F:htf_trend=0 | F:rvol=0 | F:adx=16.88 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=56.82 | F:liquidity_distance=93.4 | F:liquidity_spread=15.9 | F:return_strength=53.94,1.62686,58333,94899.62438,102.77,0.15,102.77,0.15,-26.89,-0.04,356.23,0.00
4,Exit long,2023-01-11 10:10,Long Exit,1.63154,134615,219707.8338,-58.14,-0.04,103.25,0.06,-58.14,-0.04,298.09,0.00
4,Entry long,2023-01-11 09:45, | F:score=65 | F:fresh=96 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.54 | F:is_accuracy=0 | F:trend=1 | F:rsi=38.49 | F:htf_trend=0 | F:rvol=0 | F:adx=16.67 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=98.2 | F:liquidity_spread=10.1 | F:return_strength=38,1.63212,134615,219707.8338,-58.14,-0.04,103.25,0.06,-58.14,-0.04,298.09,0.00
5,Exit short,2023-01-11 18:50,Short Exit,1.62786,26119,42587.29069,51.54,0.16,51.54,0.16,-20.23,-0.06,349.63,0.00
5,Entry short,2023-01-11 17:05, | F:score=75 | F:fresh=78 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.67 | F:is_accuracy=0 | F:trend=1 | F:rsi=68.83 | F:htf_trend=0 | F:rvol=0 | F:adx=34.75 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=57.7 | F:liquidity_distance=84.2 | F:liquidity_spread=20.7 | F:return_strength=49.1,1.63051,26119,42587.29069,51.54,0.16,51.54,0.16,-20.23,-0.06,349.63,0.00
6,Exit short,2023-01-13 20:20,Short Exit,1.63642,137255,224528.5917,-58.49,-0.03,38.99,0.02,-58.49,-0.03,291.14,0.00
6,Entry short,2023-01-13 20:05, | F:score=55 | F:fresh=18 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.8 | F:is_accuracy=0 | F:trend=1 | F:rsi=52.28 | F:htf_trend=1 | F:rvol=0 | F:adx=11.4 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=33.86 | F:liquidity_distance=96.4 | F:liquidity_spread=10.4 | F:return_strength=51.75,1.63585,137255,224528.5917,-58.49,-0.03,38.99,0.02,-58.49,-0.03,291.14,0.00
7,Exit short,2023-01-18 21:40,Short Exit,1.66405,116667,194062.7211,-57.47,-0.04,2.61,0.00,-57.47,-0.04,233.67,0.00
