Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-03 14:25,Short Exit,1.05373,96154,101264.5851,-55.77,-0.06,71.15,0.07,-55.77,-0.06,-55.77,0.00
1,Entry short,2023-01-03 13:40, | F:score=70 | F:fresh=10 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.76 | F:is_accuracy=0 | F:trend=0 | F:rsi=40.01 | F:htf_trend=0 | F:rvol=0 | F:adx=53.12 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=96.2 | F:liquidity_spread=8 | F:return_strength=100,1.05315,96154,101264.5851,-55.77,-0.06,71.15,0.07,-55.77,-0.06,-55.77,0.00
2,Exit long,2023-01-03 19:45,Long Exit,1.0544,65789,69396.86876,-28.95,-0.04,5.92,0.01,-28.95,-0.04,-84.72,0.00
2,Entry long,2023-01-03 19:40, | F:score=55 | F:fresh=12 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.84 | F:is_accuracy=0 | F:trend=0 | F:rsi=42.35 | F:htf_trend=0 | F:rvol=0 | F:adx=16.34 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=59.65 | F:liquidity_distance=83.2 | F:liquidity_spread=5.4 | F:return_strength=26.67,1.05484,65789,69396.86876,-28.95,-0.04,5.92,0.01,-28.95,-0.04,-84.72,0.00
3,Exit short,2023-01-06 08:35,Short Exit,1.05225,227273,239084.3778,-63.64,-0.03,54.55,0.02,-63.64,-0.03,-148.35,0.00
3,Entry short,2023-01-06 08:10, | F:score=65 | F:fresh=13 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.95 | F:is_accuracy=0 | F:trend=0 | F:rsi=46.99 | F:htf_trend=0 | F:rvol=0 | F:adx=32.88 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=97 | F:liquidity_spread=5.2 | F:return_strength=57.67,1.05197,227273,239084.3778,-63.64,-0.03,54.55,0.02,-63.64,-0.03,-148.35,0.00
4,Exit short,2023-01-10 08:40,Short Exit,1.07317,208333,223795.4753,218.75,0.10,218.75,0.10,-41.67,-0.02,70.4,0.00
4,Entry short,2023-01-10 07:40, | F:score=55 | F:fresh=112 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.77 | F:is_accuracy=1 | F:trend=1 | F:rsi=68.5 | F:htf_trend=0 | F:rvol=0 | F:adx=22.44 | F:touch_count=1 | F:base_quality=60 | F:departure_strength=53.13 | F:liquidity_distance=96.2 | F:liquidity_spread=5.2 | F:return_strength=21.51,1.07422,208333,223795.4753,218.75,0.10,218.75,0.10,-41.67,-0.02,70.4,0.00
5,Exit long,2023-01-10 08:45,Long Exit,1.07296,83333,89442.97556,-30,-0.03,1.67,0.00,-30,-0.03,40.4,0.00
5,Entry long,2023-01-10 08:40, | F:score=65 | F:fresh=21 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.52 | F:is_accuracy=0 | F:trend=1 | F:rsi=43.05 | F:htf_trend=0 | F:rvol=0 | F:adx=21.49 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=95.6 | F:liquidity_spread=2.4 | F:return_strength=40.72,1.07332,83333,89442.97556,-30,-0.03,1.67,0.00,-30,-0.03,40.4,0.00
