Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-05 17:50,Long Exit,159.092,46708,7437828.628,-52.46,-0.09,80.98,0.14,-52.46,-0.09,-52.46,0.00
1,Entry long,2023-01-05 16:15, | F:score=75 | F:fresh=77 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.7 | F:is_accuracy=0 | F:trend=0 | F:rsi=42.18 | F:htf_trend=0 | F:rvol=0 | F:adx=18.82 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=29.25 | F:liquidity_distance=99.2 | F:liquidity_spread=54 | F:return_strength=50,159.241,46708,7437828.628,-52.46,-0.09,80.98,0.14,-52.46,-0.09,-52.46,0.00
2,Exit long,2023-01-10 15:30,Long Exit,160.413,58024,9314766.792,-52.79,-0.07,58.95,0.08,-52.79,-0.07,-105.25,0.00
2,Entry long,2023-01-10 15:05, | F:score=70 | F:fresh=9 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.85 | F:is_accuracy=0 | F:trend=1 | F:rsi=47.9 | F:htf_trend=0 | F:rvol=0 | F:adx=15.24 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=55.06 | F:liquidity_distance=96 | F:liquidity_spread=11.3 | F:return_strength=100,160.533,58024,9314766.792,-52.79,-0.07,58.95,0.08,-52.79,-0.07,-105.25,0.00
3,Exit long,2023-01-18 09:35,Long Exit,160.577,90522,14542811.91,-55.09,-0.05,36.73,0.03,-55.09,-0.05,-160.34,0.00
3,Entry long,2023-01-18 09:30, | F:score=75 | F:fresh=16 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.32 | F:is_accuracy=1 | F:trend=1 | F:rsi=43.31 | F:htf_trend=1 | F:rvol=0 | F:adx=21.85 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=35.91 | F:liquidity_distance=87.4 | F:liquidity_spread=15 | F:return_strength=100,160.655,90522,14542811.91,-55.09,-0.05,36.73,0.03,-55.09,-0.05,-160.34,0.00
4,Exit long,2023-01-19 18:30,Time Stop (Bars),158.787,22961,3642923.377,23.15,0.08,66.24,0.23,-42.91,-0.15,-137.19,0.00
4,Entry long,2023-01-19 15:30, | F:score=75 | F:fresh=38 | F:session=2 | F:zone_type=0 | F:atr_ratio=1.05 | F:is_accuracy=0 | F:trend=1 | F:rsi=54.24 | F:htf_trend=1 | F:rvol=0 | F:adx=22.72 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=24.48 | F:liquidity_distance=99.2 | F:liquidity_spread=28 | F:return_strength=50,158.657,22961,3642923.377,23.15,0.08,66.24,0.23,-42.91,-0.15,-137.19,0.00
5,Exit short,2023-01-27 16:35,Short Exit,160.655,52256,8388394.4,-52.15,-0.08,44.93,0.07,-52.15,-0.08,-189.34,0.00
5,Entry short,2023-01-27 15:30, | F:score=70 | F:fresh=8 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.86 | F:is_accuracy=0 | F:trend=0 | F:rsi=41.9 | F:htf_trend=1 | F:rvol=0 | F:adx=23.5 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=49.45 | F:liquidity_distance=96.2 | F:liquidity_spread=11.8 | F:return_strength=100,160.525,52256,8388394.4,-52.15,-0.08,44.93,0.07,-52.15,-0.08,-189.34,0.00
6,Exit short,2023-01-31 10:00,Short Exit,160.704,116276,18705203.84,147.04,0.10,147.04,0.10,-24.06,-0.02,-42.31,0.00
6,Entry short,2023-01-31 09:10, | F:score=70 | F:fresh=46 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.87 | F:is_accuracy=0 | F:trend=0 | F:rsi=61.34 | F:htf_trend=1 | F:rvol=0 | F:adx=18.28 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=43.37 | F:liquidity_distance=87.6 | F:liquidity_spread=18.6 | F:return_strength=100,160.869,116276,18705203.84,147.04,0.10,147.04,0.10,-24.06,-0.02,-42.31,0.00
7,Exit short,2023-01-31 14:55,Short Exit,160.496,26091,4193945.613,49.39,0.15,49.39,0.15,-9.2,-0.03,7.08,0.00
7,Entry short,2023-01-31 14:05, | F:score=75 | F:fresh=53 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.77 | F:is_accuracy=0 | F:trend=0 | F:rsi=61.6 | F:htf_trend=1 | F:rvol=0 | F:adx=14.71 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=39.82 | F:liquidity_distance=96 | F:liquidity_spread=8 | F:return_strength=50,160.743,26091,4193945.613,49.39,0.15,49.39,0.15,-9.2,-0.03,7.08,0.00
8,Exit short,2023-01-31 22:00,Short Exit,160.382,144614,23212571.6,146.3,0.08,146.3,0.08,-47.66,-0.03,153.38,0.00
8,Entry short,2023-01-31 21:05, | F:score=75 | F:fresh=19 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.7 | F:is_accuracy=1 | F:trend=0 | F:rsi=60.34 | F:htf_trend=1 | F:rvol=0 | F:adx=12.45 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=33.99 | F:liquidity_distance=92.8 | F:liquidity_spread=6.4 | F:return_strength=16.67,160.514,144614,23212571.6,146.3,0.08,146.3,0.08,-47.66,-0.03,153.38,0.00
9,Exit short,2023-02-01 21:00,Short Exit,159.012,124340,19790576.1,146.18,0.10,146.18,0.10,-21.02,-0.01,299.56,0.00
9,Entry short,2023-02-01 20:25, | F:score=70 | F:fresh=25 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.86 | F:is_accuracy=0 | F:trend=0 | F:rsi=53.8 | F:htf_trend=0 | F:rvol=0 | F:adx=43.07 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=99.4 | F:liquidity_spread=11.4 | F:return_strength=100,159.165,124340,19790576.1,146.18,0.10,146.18,0.10,-21.02,-0.01,299.56,0.00
10,Exit long,2023-02-02 00:00,Time Stop (Bars),159.477,6716,1070516.968,4.11,0.05,13.57,0.16,-14.14,-0.17,303.68,0.00
10,Entry long,2023-02-01 21:00, | F:score=50 | F:fresh=15 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.5 | F:is_accuracy=0 | F:trend=0 | F:rsi=64.63 | F:htf_trend=0 | F:rvol=0 | F:adx=29.96 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=42.33 | F:liquidity_distance=81.2 | F:liquidity_spread=14.6 | F:return_strength=100,159.398,6716,1070516.968,4.11,0.05,13.57,0.16,-14.14,-0.17,303.68,0.00
11,Exit short,2023-02-03 12:50,Short Exit,157.529,30041,4725719.669,-51.34,-0.14,8.87,0.02,-51.34,-0.14,252.34,0.00
11,Entry short,2023-02-03 12:05, | F:score=70 | F:fresh=158 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.7 | F:is_accuracy=0 | F:trend=1 | F:rsi=61.82 | F:htf_trend=0 | F:rvol=0 | F:adx=38.03 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=31.77 | F:liquidity_distance=84.8 | F:liquidity_spread=10.1 | F:return_strength=100,157.309,30041,4725719.669,-51.34,-0.14,8.87,0.02,-51.34,-0.14,252.34,0.00
12,Exit long,2023-02-07 20:15,Long Exit,157.596,67584,10657929.22,-52.47,-0.07,83.03,0.10,-52.47,-0.07,199.87,0.00
12,Entry long,2023-02-07 19:40, | F:score=60 | F:fresh=19 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.87 | F:is_accuracy=1 | F:trend=0 | F:rsi=42.09 | F:htf_trend=0 | F:rvol=0 | F:adx=24.94 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=38.82 | F:liquidity_distance=87 | F:liquidity_spread=10.5 | F:return_strength=58.29,157.699,67584,10657929.22,-52.47,-0.07,83.03,0.10,-52.47,-0.07,199.87,0.00
13,Exit short,2023-02-09 10:35,Short Exit,158.885,57960,9202077.36,-52.47,-0.07,17.64,0.03,-52.47,-0.07,147.4,0.00
13,Entry short,2023-02-09 10:30, | F:score=75 | F:fresh=12 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.65 | F:is_accuracy=0 | F:trend=1 | F:rsi=52.1 | F:htf_trend=0 | F:rvol=0 | F:adx=40.41 | F:touch_count=1 | F:base_quality=60 | F:departure_strength=50.37 | F:liquidity_distance=80 | F:liquidity_spread=9.4 | F:return_strength=100,158.766,57960,9202077.36,-52.47,-0.07,17.64,0.03,-52.47,-0.07,147.4,0.00
14,Exit long,2023-02-09 15:50,Long Exit,158.861,17592,2798060.376,-25.7,-0.12,10.57,0.05,-25.7,-0.12,121.7,0.00
14,Entry long,2023-02-09 14:35, | F:score=70 | F:fresh=23 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.57 | F:is_accuracy=0 | F:trend=1 | F:rsi=56.13 | F:htf_trend=1 | F:rvol=0 | F:adx=25.28 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=97.6 | F:liquidity_spread=20 | F:return_strength=50,159.053,17592,2798060.376,-25.7,-0.12,10.57,0.05,-25.7,-0.12,121.7,0.00
15,Exit long,2023-02-14 14:45,Long Exit,161.228,75975,12256362.97,-53.35,-0.06,31.55,0.03,-53.35,-0.06,68.35,0.00
15,Entry long,2023-02-14 14:15, | F:score=75 | F:fresh=16 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.48 | F:is_accuracy=0 | F:trend=1 | F:rsi=57.7 | F:htf_trend=1 | F:rvol=0 | F:adx=43.2 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=47.45 | F:liquidity_distance=94.4 | F:liquidity_spread=14.6 | F:return_strength=100,161.321,75975,12256362.97,-53.35,-0.06,31.55,0.03,-53.35,-0.06,68.35,0.00
16,Exit short,2023-02-15 08:50,Short Exit,161.793,97981,15845389.34,-54.46,-0.05,2.94,0.00,-54.46,-0.05,13.9,0.00
16,Entry short,2023-02-15 08:45, | F:score=55 | F:fresh=18 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.49 | F:is_accuracy=1 | F:trend=1 | F:rsi=54.31 | F:htf_trend=1 | F:rvol=0 | F:adx=16 | F:touch_count=1 | F:base_quality=60 | F:departure_strength=29.11 | F:liquidity_distance=95.8 | F:liquidity_spread=10.1 | F:return_strength=100,161.719,97981,15845389.34,-54.46,-0.05,2.94,0.00,-54.46,-0.05,13.9,0.00
17,Exit short,2023-02-15 18:40,Short Exit,161.422,28923,4665279.9,-26.5,-0.08,29.11,0.08,-26.5,-0.08,-12.61,0.00
17,Entry short,2023-02-15 18:10, | F:score=70 | F:fresh=84 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.6 | F:is_accuracy=0 | F:trend=1 | F:rsi=66 | F:htf_trend=1 | F:rvol=0 | F:adx=23.76 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=86.8 | F:liquidity_spread=18.6 | F:return_strength=44.79,161.3,28923,4665279.9,-26.5,-0.08,29.11,0.08,-26.5,-0.08,-12.61,0.00
18,Exit long,2023-02-16 19:00,Long Exit,160.911,81628,13142026.37,-53.53,-0.05,20.68,0.02,-53.53,-0.05,-66.14,0.00
18,Entry long,2023-02-16 18:45, | F:score=60 | F:fresh=16 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.47 | F:is_accuracy=1 | F:trend=0 | F:rsi=45.17 | F:htf_trend=1 | F:rvol=0 | F:adx=16.05 | F:touch_count=1 | F:base_quality=80 | F:departure_strength=50 | F:liquidity_distance=82 | F:liquidity_spread=14 | F:return_strength=19.51,160.999,81628,13142026.37,-53.53,-0.05,20.68,0.02,-53.53,-0.05,-66.14,0.00
19,Exit long,2023-02-20 13:00,Long Exit,161.246,73701,11891140.44,-53.27,-0.06,26.36,0.03,-53.27,-0.06,-119.41,0.00
