Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-05 18:00,Long Exit,10756.31,1,10794.89,-38.58,-0.36,4.33,0.04,-38.58,-0.36,-38.58,0.00
1,Entry long,2023-01-05 17:40, | F:score=55 | F:fresh=11 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.92 | F:is_accuracy=0 | F:trend=0 | F:rsi=43.68 | F:htf_trend=0 | F:rvol=0.9 | F:adx=41.28 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=22.27 | F:liquidity_distance=90.22 | F:liquidity_spread=6.99 | F:return_strength=26.67,10794.89,1,10794.89,-38.58,-0.36,4.33,0.04,-38.58,-0.36,-38.58,0.00
2,Exit long,2023-01-18 10:20,Long Exit,11570.4,8,92611.76,-48.56,-0.05,165.6,0.18,-48.56,-0.05,-87.14,0.00
2,Entry long,2023-01-18 09:45, | F:score=70 | F:fresh=26 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.51 | F:is_accuracy=0 | F:trend=1 | F:rsi=44.36 | F:htf_trend=1 | F:rvol=1.79 | F:adx=26.78 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=29.48 | F:liquidity_distance=99.82 | F:liquidity_spread=6.79 | F:return_strength=50,11576.47,8,92611.76,-48.56,-0.05,165.6,0.18,-48.56,-0.05,-87.14,0.00
3,Exit long,2023-01-18 18:20,Long Exit,11508.57,1,11527.89,-19.32,-0.17,2.58,0.02,-19.32,-0.17,-106.46,0.00
3,Entry long,2023-01-18 18:10, | F:score=75 | F:fresh=274 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.71 | F:is_accuracy=0 | F:trend=0 | F:rsi=31.59 | F:htf_trend=1 | F:rvol=0.66 | F:adx=40.63 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=57.59 | F:liquidity_distance=99 | F:liquidity_spread=6.49 | F:return_strength=100,11527.89,1,11527.89,-19.32,-0.17,2.58,0.02,-19.32,-0.17,-106.46,0.00
4,Exit short,2023-01-19 22:55,Short Exit,11294.13,3,34120.62,238.23,0.70,238.23,0.70,-19.2,-0.06,131.77,0.00
4,Entry short,2023-01-19 21:45, | F:score=75 | F:fresh=127 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.61 | F:is_accuracy=0 | F:trend=1 | F:rsi=68.23 | F:htf_trend=1 | F:rvol=0.91 | F:adx=35.52 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=49.59 | F:liquidity_distance=91.58 | F:liquidity_spread=100 | F:return_strength=36.67,11373.54,3,34120.62,238.23,0.70,238.23,0.70,-19.2,-0.06,131.77,0.00
5,Exit long,2023-01-20 09:25,Long Exit,11365.13,8,90717.12,203.92,0.22,203.92,0.22,-10.4,-0.01,335.69,0.00
5,Entry long,2023-01-20 07:35, | F:score=45 | F:fresh=17 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.55 | F:is_accuracy=0 | F:trend=0 | F:rsi=55.07 | F:htf_trend=1 | F:rvol=1.24 | F:adx=13.9 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=99.02 | F:liquidity_spread=3.4 | F:return_strength=14.08,11339.64,8,90717.12,203.92,0.22,203.92,0.22,-10.4,-0.01,335.69,0.00
6,Exit long,2023-01-26 18:20,Long Exit,11850.88,1,11884.95,-34.07,-0.29,28.72,0.24,-34.07,-0.29,301.62,0.00
6,Entry long,2023-01-26 18:00, | F:score=70 | F:fresh=147 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.13 | F:is_accuracy=0 | F:trend=1 | F:rsi=41.73 | F:htf_trend=1 | F:rvol=0.9 | F:adx=19.92 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=56.39 | F:liquidity_distance=99.5 | F:liquidity_spread=11.86 | F:return_strength=24.78,11884.95,1,11884.95,-34.07,-0.29,28.72,0.24,-34.07,-0.29,301.62,0.00
7,Exit short,2023-01-26 18:55,Short Exit,11920.33,3,35734.14,-26.85,-0.08,50.88,0.14,-26.85,-0.08,274.77,0.00
