Trade #,Type,Date and time,Signal,Price,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %,Symbol
1,Long Exit,2023-01-05 09:50,Long Exit,0,1,0,0,-1.0,0,0.0,0,-1.0,0,0.0,GBPJPY
1,Entry long,2023-01-05 09:50, | F:signal_encoded=65 | F:session_encoded=2 | F:zone_type=1 | F:liq_distance=5 | F:source_encoded=2,0,1,0,0,-1.0,0,0.0,0,-1.0,0,-1.0,GBPJPY
2,Long Exit,2023-01-05 16:10,Long Exit,0,1,0,0,-1.0,0,0.0,0,-1.0,0,-1.0,GBPJPY
2,Entry long,2023-01-05 16:10, | F:signal_encoded=72 | F:session_encoded=3 | F:zone_type=1 | F:liq_distance=1 | F:source_encoded=2,0,1,0,0,-1.0,0,0.0,0,-1.0,0,-2.0,GBPJPY
3,Long Exit,2023-01-06 09:20,Long Exit,0,1,0,0,-1.0,0,0.0,0,-1.0,0,-2.0,GBPJPY
3,Entry long,2023-01-06 09:20, | F:signal_encoded=72 | F:session_encoded=2 | F:zone_type=1 | F:liq_distance=2 | F:source_encoded=2,0,1,0,0,-1.0,0,0.0,0,-1.0,0,-3.0,GBPJPY
4,Short Exit,2023-01-06 12:55,Short Exit,0,1,0,0,-1.0,0,0.0,0,-1.0,0,-3.0,GBPJPY
4,Entry short,2023-01-06 12:55, | F:signal_encoded=65 | F:session_encoded=2 | F:zone_type=0 | F:liq_distance=4 | F:source_encoded=2,0,1,0,0,-1.0,0,0.0,0,-1.0,0,-4.0,GBPJPY
5,Long Exit,2023-01-11 09:10,Long Exit,0,1,0,0,4.5,0,4.5,0,0.0,0,-4.0,GBPJPY
5,Entry long,2023-01-11 09:10, | F:signal_encoded=72 | F:session_encoded=2 | F:zone_type=1 | F:liq_distance=1 | F:source_encoded=2,0,1,0,0,4.5,0,4.5,0,0.0,0,0.5,GBPJPY
6,Short Exit,2023-01-11 17:00,Short Exit,0,1,0,0,4.5,0,4.5,0,0.0,0,0.5,GBPJPY
6,Entry short,2023-01-11 17:00, | F:signal_encoded=72 | F:session_encoded=3 | F:zone_type=0 | F:liq_distance=1 | F:source_encoded=2,0,1,0,0,4.5,0,4.5,0,0.0,0,5.0,GBPJPY
7,Short Exit,2023-01-13 11:30,Short Exit,0,1,0,0,2.0,0,2.0,0,0.0,0,5.0,GBPJPY
7,Entry short,2023-01-13 11:30, | F:signal_encoded=85 | F:session_encoded=2 | F:zone_type=0 | F:liq_distance=1 | F:source_encoded=2,0,1,0,0,2.0,0,2.0,0,0.0,0,7.0,GBPJPY
8,Long Exit,2023-01-18 08:15,Long Exit,0,1,0,0,2.0,0,2.0,0,0.0,0,7.0,GBPJPY
8,Entry long,2023-01-18 08:15, | F:signal_encoded=85 | F:session_encoded=2 | F:zone_type=1 | F:liq_distance=9 | F:source_encoded=2,0,1,0,0,2.0,0,2.0,0,0.0,0,9.0,GBPJPY
9,Short Exit,2023-01-19 15:45,Short Exit,0,1,0,0,-1.0,0,0.0,0,-1.0,0,9.0,GBPJPY
9,Entry short,2023-01-19 15:45, | F:signal_encoded=65 | F:session_encoded=2 | F:zone_type=0 | F:liq_distance=2 | F:source_encoded=2,0,1,0,0,-1.0,0,0.0,0,-1.0,0,8.0,GBPJPY
10,Short Exit,2023-01-26 12:05,Short Exit,0,1,0,0,-1.0,0,0.0,0,-1.0,0,8.0,GBPJPY
10,Entry short,2023-01-26 12:05, | F:signal_encoded=85 | F:session_encoded=2 | F:zone_type=0 | F:liq_distance=3 | F:source_encoded=2,0,1,0,0,-1.0,0,0.0,0,-1.0,0,7.0,GBPJPY
11,Short Exit,2023-01-27 08:30,Short Exit,0,1,0,0,-1.0,0,0.0,0,-1.0,0,7.0,GBPJPY
11,Entry short,2023-01-27 08:30, | F:signal_encoded=95 | F:session_encoded=1 | F:zone_type=0 | F:liq_distance=2 | F:source_encoded=2,0,1,0,0,-1.0,0,0.0,0,-1.0,0,6.0,GBPJPY
12,Short Exit,2023-01-31 09:10,Short Exit,0,1,0,0,3.0,0,3.0,0,0.0,0,6.0,GBPJPY
12,Entry short,2023-01-31 09:10, | F:signal_encoded=85 | F:session_encoded=1 | F:zone_type=0 | F:liq_distance=6 | F:source_encoded=2,0,1,0,0,3.0,0,3.0,0,0.0,0,9.0,GBPJPY
13,Short Exit,2023-01-31 14:05,Short Exit,0,1,0,0,2.0,0,2.0,0,0.0,0,9.0,GBPJPY
13,Entry short,2023-01-31 14:05, | F:signal_encoded=85 | F:session_encoded=2 | F:zone_type=0 | F:liq_distance=2 | F:source_encoded=2,0,1,0,0,2.0,0,2.0,0,0.0,0,11.0,GBPJPY
14,Short Exit,2023-02-08 09:40,Short Exit,0,1,0,0,-1.0,0,0.0,0,-1.0,0,11.0,GBPJPY
14,Entry short,2023-02-08 09:40, | F:signal_encoded=65 | F:session_encoded=1 | F:zone_type=0 | F:liq_distance=2 | F:source_encoded=2,0,1,0,0,-1.0,0,0.0,0,-1.0,0,10.0,GBPJPY
15,Long Exit,2023-02-08 10:55,Long Exit,0,1,0,0,-1.0,0,0.0,0,-1.0,0,10.0,GBPJPY
15,Entry long,2023-02-08 10:55, | F:signal_encoded=85 | F:session_encoded=2 | F:zone_type=1 | F:liq_distance=1 | F:source_encoded=2,0,1,0,0,-1.0,0,0.0,0,-1.0,0,9.0,GBPJPY
