Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-02 19:35,Short Exit,130.779,311310,40704405.12,-8405.37,-0.02,0,0.00,-8405.37,-0.02,-8405.37,-0.08
1,Entry short,2023-01-02 19:30, | F:score=75 | F:fresh=11 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.48 | F:is_accuracy=0 | F:trend=0 | F:rsi=51.56 | F:htf_trend=0 | F:rvol=0 | F:adx=15.46 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=31.11 | F:liquidity_distance=99 | F:liquidity_spread=2.4 | F:return_strength=26.67,130.752,311310,40704405.12,-8405.37,-0.02,0,0.00,-8405.37,-0.02,-8405.37,-0.08
2,Exit short,2023-01-05 09:10,Short Exit,132.286,77941,10326870.74,123.38,0.16,123.38,0.16,-16.45,-0.02,-8281.99,-0.08
2,Entry short,2023-01-05 08:45, | F:score=45 | F:fresh=14 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.49 | F:is_accuracy=0 | F:trend=1 | F:rsi=59.68 | F:htf_trend=0 | F:rvol=0 | F:adx=25.19 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=98.8 | F:liquidity_spread=9.7 | F:return_strength=50,132.496,77941,10326870.74,123.38,0.16,123.38,0.16,-16.45,-0.02,-8281.99,-0.08
3,Exit short,2023-01-05 09:45,Short Exit,132.519,21211,2807424.327,-25.9,-0.12,4.96,0.02,-25.9,-0.12,-8307.89,-0.08
3,Entry short,2023-01-05 09:25, | F:score=50 | F:fresh=6 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.46 | F:is_accuracy=0 | F:trend=1 | F:rsi=47.28 | F:htf_trend=0 | F:rvol=0 | F:adx=17.95 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=40.4 | F:liquidity_distance=98.2 | F:liquidity_spread=7.9 | F:return_strength=36.67,132.357,21211,2807424.327,-25.9,-0.12,4.96,0.02,-25.9,-0.12,-8307.89,-0.08
4,Exit short,2023-01-05 12:40,Short Exit,132.385,88381,11716669.17,123.25,0.14,123.25,0.14,-27.31,-0.03,-8184.64,-0.08
4,Entry short,2023-01-05 12:15, | F:score=55 | F:fresh=13 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.79 | F:is_accuracy=0 | F:trend=1 | F:rsi=50.12 | F:htf_trend=0 | F:rvol=0 | F:adx=13.11 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=24.51 | F:liquidity_distance=96.8 | F:liquidity_spread=9.5 | F:return_strength=61.67,132.57,88381,11716669.17,123.25,0.14,123.25,0.14,-27.31,-0.03,-8184.64,-0.08
5,Exit short,2023-01-06 17:40,Short Exit,132.575,9230,1237041.52,100.2,1.08,100.2,1.08,-11.41,-0.12,-8084.44,-0.08
5,Entry short,2023-01-06 15:30, | F:score=60 | F:fresh=6 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.59 | F:is_accuracy=1 | F:trend=1 | F:rsi=27 | F:htf_trend=0 | F:rvol=0 | F:adx=35.48 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=98 | F:liquidity_spread=2.4 | F:return_strength=50,134.024,9230,1237041.52,100.2,1.08,100.2,1.08,-11.41,-0.12,-8084.44,-0.08
