Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-04 12:25,Short Exit,1858.04,41,76303.46,123.82,0.16,123.82,0.16,-38.54,-0.05,123.82,0.00
1,Entry short,2023-01-04 11:30, | F:score=55 | F:fresh=13 | F:session=1 | F:zone_type=1 | F:atr_ratio=1.08 | F:is_accuracy=0 | F:trend=1 | F:rsi=63.36 | F:htf_trend=0 | F:rvol=0.75 | F:adx=42.61 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=25.18 | F:liquidity_distance=8 | F:liquidity_spread=100 | F:return_strength=100,1861.06,41,76303.46,123.82,0.16,123.82,0.16,-38.54,-0.05,123.82,0.00
2,Exit short,2023-01-05 18:30,Short Exit,1831.92,28,51242.24,-51.52,-0.10,36.4,0.07,-51.52,-0.10,72.3,0.00
2,Entry short,2023-01-05 18:15, | F:score=75 | F:fresh=14 | F:session=2 | F:zone_type=1 | F:atr_ratio=2.08 | F:is_accuracy=0 | F:trend=0 | F:rsi=43.23 | F:htf_trend=0 | F:rvol=0.69 | F:adx=40.78 | F:touch_count=1 | F:base_quality=40 | F:departure_strength=41.13 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=100,1830.08,28,51242.24,-51.52,-0.10,36.4,0.07,-51.52,-0.10,72.3,0.00
3,Exit long,2023-01-06 13:15,Long Exit,1838.2,24,44043.36,73.44,0.17,73.44,0.17,-29.76,-0.07,145.74,0.00
3,Entry long,2023-01-06 11:20, | F:score=50 | F:fresh=95 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.94 | F:is_accuracy=0 | F:trend=0 | F:rsi=33.42 | F:htf_trend=0 | F:rvol=1.5 | F:adx=19.26 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=70.73 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=100,1835.14,24,44043.36,73.44,0.17,73.44,0.17,-29.76,-0.07,145.74,0.00
4,Exit short,2023-01-10 09:25,Short Exit,1871.26,44,82458.64,123.2,0.15,123.2,0.15,-11.44,-0.01,268.94,0.00
4,Entry short,2023-01-10 08:05, | F:score=45 | F:fresh=46 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.69 | F:is_accuracy=0 | F:trend=1 | F:rsi=58.8 | F:htf_trend=0 | F:rvol=1.09 | F:adx=24.02 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=36.67,1874.06,44,82458.64,123.2,0.15,123.2,0.15,-11.44,-0.01,268.94,0.00
5,Exit short,2023-01-11 08:30,Short Exit,1883.85,78,146885.7,-54.6,-0.04,4.68,0.00,-54.6,-0.04,214.34,0.00
5,Entry short,2023-01-11 08:25, | F:score=45 | F:fresh=9 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.94 | F:is_accuracy=0 | F:trend=1 | F:rsi=66.45 | F:htf_trend=0 | F:rvol=0.8 | F:adx=40.31 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=92 | F:liquidity_spread=89 | F:return_strength=26.67,1883.15,78,146885.7,-54.6,-0.04,4.68,0.00,-54.6,-0.04,214.34,0.00
6,Exit short,2023-01-12 11:30,Short Exit,1883.36,40,75282.4,-52,-0.07,39.2,0.05,-52,-0.07,162.34,0.00
6,Entry short,2023-01-12 10:00, | F:score=55 | F:fresh=11 | F:session=1 | F:zone_type=1 | F:atr_ratio=1.01 | F:is_accuracy=0 | F:trend=1 | F:rsi=48.28 | F:htf_trend=0 | F:rvol=1.84 | F:adx=24.47 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=30.88 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=35,1882.06,40,75282.4,-52,-0.07,39.2,0.05,-52,-0.07,162.34,0.00
7,Exit long,2023-01-16 15:35,Long Exit,1913.74,78,149124.3,147.42,0.10,147.42,0.10,-23.4,-0.02,309.76,0.00
7,Entry long,2023-01-16 15:25, | F:score=55 | F:fresh=55 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.58 | F:is_accuracy=0 | F:trend=0 | F:rsi=30.91 | F:htf_trend=1 | F:rvol=1.08 | F:adx=32.71 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=47.45 | F:liquidity_distance=98 | F:liquidity_spread=63 | F:return_strength=100,1911.85,78,149124.3,147.42,0.10,147.42,0.10,-23.4,-0.02,309.76,0.00
8,Exit short,2023-01-18 09:00,Short Exit,1904.32,32,60886.72,-51.52,-0.08,62.72,0.10,-51.52,-0.08,258.24,0.00
8,Entry short,2023-01-18 08:25, | F:score=70 | F:fresh=39 | F:session=0 | F:zone_type=1 | F:atr_ratio=1.35 | F:is_accuracy=0 | F:trend=0 | F:rsi=67.89 | F:htf_trend=1 | F:rvol=1.19 | F:adx=38.97 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=76.03 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=60.89,1902.71,32,60886.72,-51.52,-0.08,62.72,0.10,-51.52,-0.08,258.24,0.00
9,Exit short,2023-01-19 09:45,Short Exit,1910.79,34,64914.5,-52.36,-0.08,1.36,0.00,-52.36,-0.08,205.88,0.00
