Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-10 19:35,Time Stop (Bars),1.07438,35971,38659.47254,12.95,0.03,92.09,0.24,-20.14,-0.05,12.95,0.00
1,Entry short,2023-01-10 16:35," | F:60,261,2,1,0.65,1,1,65.59,0,0,32.39,0,60,39.99,98.6,14.3,23.56",1.07474,35971,38659.47254,12.95,0.03,92.09,0.24,-20.14,-0.05,12.95,0.00
2,Exit long,2023-01-17 17:35,Long Exit,1.08112,57471,62171.55309,-38.51,-0.06,55.17,0.09,-38.51,-0.06,-25.56,0.00
2,Entry long,2023-01-17 17:20," | F:75,57,2,0,0.34,0,0,32.94,1,0,38.03,0,80,50.18,98.6,14.1,42.55",1.08179,57471,62171.55309,-38.51,-0.06,55.17,0.09,-38.51,-0.06,-25.56,0.00
3,Exit long,2023-01-20 20:15,Long Exit,1.0837,36496,39593.41552,-42.7,-0.11,5.47,0.01,-42.7,-0.11,-68.26,0.00
3,Entry long,2023-01-20 20:00," | F:70,11,2,0,0.58,0,1,63.34,1,0,20.23,0,60,55.21,92.6,6,69.02",1.08487,36496,39593.41552,-42.7,-0.11,5.47,0.01,-42.7,-0.11,-68.26,0.00
4,Exit long,2023-01-23 10:20,Long Exit,1.08999,72464,79020.54272,-35.51,-0.04,1.45,0.00,-35.51,-0.04,-103.76,0.00
4,Entry long,2023-01-23 10:15," | F:75,7,1,0,0.73,0,1,52.89,1,0,29.83,0,80,48.46,92.2,8.5,36.67",1.09048,72464,79020.54272,-35.51,-0.04,1.45,0.00,-35.51,-0.04,-103.76,0.00
5,Exit long,2023-01-24 10:30,Long Exit,1.08812,53763,58539.84255,-39.25,-0.07,31.18,0.05,-39.25,-0.07,-143.01,0.00
5,Entry long,2023-01-24 10:15," | F:65,20,1,0,0.69,0,1,52.11,1,0,20.1,0,100,50,98.2,7.4,35.64",1.08885,53763,58539.84255,-39.25,-0.07,31.18,0.05,-39.25,-0.07,-143.01,0.00
6,Exit long,2023-01-30 15:30,Long Exit,1.08928,66667,72655.69661,-36.67,-0.05,86,0.12,-36.67,-0.05,-179.68,0.00
6,Entry long,2023-01-30 14:40," | F:65,10,2,0,0.88,0,1,50.71,1,0,18.15,0,60,50,99.6,5.6,29.71",1.08983,66667,72655.69661,-36.67,-0.05,86,0.12,-36.67,-0.05,-179.68,0.00
7,Exit short,2023-01-31 11:25,Short Exit,1.08199,98039,106046.8255,-30.39,-0.03,21.57,0.02,-30.39,-0.03,-210.07,0.00
7,Entry short,2023-01-31 11:15," | F:80,11,1,1,0.62,1,0,43.03,0,0,40.47,0,100,42.81,84.2,6.7,36.67",1.08168,98039,106046.8255,-30.39,-0.03,21.57,0.02,-30.39,-0.03,-210.07,0.00
8,Exit long,2023-02-03 13:15,Long Exit,1.09278,108696,118809.0758,-28.26,-0.02,1.09,0.00,-28.26,-0.02,-238.33,0.00
8,Entry long,2023-02-03 13:10," | F:75,10,1,0,0.77,0,1,63.11,1,0,41.18,0,40,36.51,93,4.7,36.67",1.09304,108696,118809.0758,-28.26,-0.02,1.09,0.00,-28.26,-0.02,-238.33,0.00
9,Exit long,2023-02-08 09:55,Long Exit,1.07487,80645,86516.76245,166.13,0.19,166.13,0.19,-12.9,-0.01,-72.2,0.00
9,Entry long,2023-02-08 09:00," | F:75,56,1,0,0.97,1,1,39.31,0,0,16.6,0,80,47.18,99,7.5,36.67",1.07281,80645,86516.76245,166.13,0.19,166.13,0.19,-12.9,-0.01,-72.2,0.00
10,Exit long,2023-02-20 10:25,Long Exit,1.0695,98039,104883.1026,-30.39,-0.03,1.96,0.00,-30.39,-0.03,-102.59,0.00
10,Entry long,2023-02-20 10:20," | F:75,12,1,0,0.85,0,1,58.14,0,0,30.76,0,60,45.42,95.6,6.3,36.67",1.06981,98039,104883.1026,-30.39,-0.03,1.96,0.00,-30.39,-0.03,-102.59,0.00
11,Exit short,2023-02-24 18:30,Time Stop (Bars),1.05567,29412,31057.01316,7.65,0.02,69.71,0.22,-11.47,-0.04,-94.95,0.00
11,Entry short,2023-02-24 15:30," | F:75,10,2,1,0.82,1,0,28.66,0,0,36.8,0,80,44.06,98.6,8.1,36.67",1.05593,29412,31057.01316,7.65,0.02,69.71,0.22,-11.47,-0.04,-94.95,0.00
12,Exit long,2023-02-28 21:20,Long Exit,1.05879,84746,89761.26828,-33.05,-0.04,45.76,0.05,-33.05,-0.04,-128,0.00
12,Entry long,2023-02-28 20:20," | F:80,130,2,0,0.12,1,0,36.02,0,0,24.85,0,20,35.52,95.4,6.2,36.67",1.05918,84746,89761.26828,-33.05,-0.04,45.76,0.05,-33.05,-0.04,-128,0.00
13,Exit long,2023-03-01 17:45,Long Exit,1.06753,55556,59171.58448,136.11,0.23,136.11,0.23,-37.78,-0.06,8.11,0.00
13,Entry long,2023-03-01 17:10," | F:75,61,2,0,0.63,0,1,35.54,1,0,24.65,0,80,54.7,95,14.1,36.67",1.06508,55556,59171.58448,136.11,0.23,136.11,0.23,-37.78,-0.06,8.11,0.00
14,Exit long,2023-03-06 13:05,Long Exit,1.06252,61728,65624.88864,-37.65,-0.06,40.74,0.06,-37.65,-0.06,-29.54,0.00
14,Entry long,2023-03-06 12:05," | F:75,106,1,0,0.6,1,0,36.21,1,0,28.26,0,80,45.9,98.2,10.2,36.67",1.06313,61728,65624.88864,-37.65,-0.06,40.74,0.06,-37.65,-0.06,-29.54,0.00
