Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-11 15:00,Long Exit,160.944,70548,11336287.57,136.02,0.16,136.02,0.16,-13.34,-0.02,136.02,0.00
1,Entry long,2023-01-11 14:20," | F:55,12,2,0,0.84,1,0,45.64,0,0,13.68,0,60,47.89,77.4,7.9,47.32",160.689,70548,11336287.57,136.02,0.16,136.02,0.16,-13.34,-0.02,136.02,0.00
2,Exit long,2023-01-18 09:35,Long Exit,160.59,79483,12769102.92,-38.45,-0.04,34.11,0.03,-38.45,-0.04,97.57,0.00
2,Entry long,2023-01-18 09:30," | F:75,16,1,0,0.32,1,1,43.31,1,0,21.85,0,40,45.69,87.4,15,36.67",160.652,79483,12769102.92,-38.45,-0.04,34.11,0.03,-38.45,-0.04,97.57,0.00
3,Exit long,2023-01-19 18:30,Time Stop (Bars),158.79,22169,3517200.526,23.38,0.09,64.47,0.24,-40.92,-0.15,120.95,0.00
3,Entry long,2023-01-19 15:30," | F:75,38,2,0,1.05,0,1,54.24,1,0,22.72,0,60,39.93,99.2,28,50",158.654,22169,3517200.526,23.38,0.09,64.47,0.24,-40.92,-0.15,120.95,0.00
4,Exit short,2023-01-31 21:25,Short Exit,160.552,118321,18992531.96,-31.74,-0.02,14.51,0.01,-31.74,-0.02,89.22,0.00
4,Entry short,2023-01-31 21:05," | F:75,19,2,1,0.7,1,0,60.34,1,0,12.45,0,60,42.11,92.8,6.4,58",160.517,118321,18992531.96,-31.74,-0.02,14.51,0.01,-31.74,-0.02,89.22,0.00
5,Exit long,2023-02-09 15:45,Long Exit,158.874,33388,5310361.4,-44.71,-0.11,20.83,0.05,-44.71,-0.11,44.51,0.00
5,Entry long,2023-02-09 14:35," | F:70,23,2,0,0.57,0,1,56.13,1,0,25.28,0,40,50,97.6,20,50",159.05,33388,5310361.4,-44.71,-0.11,20.83,0.05,-44.71,-0.11,44.51,0.00
6,Exit long,2023-02-14 14:40,Long Exit,161.241,68143,10992692.47,-39.61,-0.05,29.84,0.04,-39.61,-0.05,4.89,0.00
