Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-16 15:35,Long Exit,1913.87,68,130003.76,139.4,0.11,139.4,0.11,-18.36,-0.01,139.4,0.00
1,Entry long,2023-01-16 15:25," | F:55,55,2,0,0.58,0,0,30.91,1,1.08,32.71,0,80,35.92,58.2,9.2,50.56",1911.82,68,130003.76,139.4,0.11,139.4,0.11,-18.36,-0.01,139.4,0.00
2,Exit long,2023-01-20 23:00,Time Stop (Bars),1927.16,20,38532.2,11,0.03,85.6,0.22,-39.6,-0.10,150.4,0.00
2,Entry long,2023-01-20 20:00," | F:50,12,2,0,1.61,0,0,54.86,1,2.41,10.14,0,100,38.48,88.6,10.9,50.93",1926.61,20,38532.2,11,0.03,85.6,0.22,-39.6,-0.10,150.4,0.00
3,Exit long,2023-01-27 16:30,Long Exit,1925.68,28,53963,-43.96,-0.08,65.24,0.12,-43.96,-0.08,106.44,0.00
3,Entry long,2023-01-27 16:10," | F:75,51,2,0,0.41,0,0,37.98,1,1.62,21.63,0,80,46.26,74.4,18.7,36.67",1927.25,28,53963,-43.96,-0.08,65.24,0.12,-43.96,-0.08,106.44,0.00
4,Exit short,2023-01-31 17:40,Short Exit,1927.45,9,17296.65,-50.4,-0.29,13.05,0.08,-50.4,-0.29,56.04,0.00
4,Entry short,2023-01-31 17:05," | F:75,272,2,1,0.75,0,1,60.86,1,1.03,46.42,0,60,48.78,89,16.1,47.47",1921.85,9,17296.65,-50.4,-0.29,13.05,0.08,-50.4,-0.29,56.04,0.00
5,Exit short,2023-02-02 15:40,Short Exit,1948.03,22,42962.26,105.6,0.25,105.6,0.25,-26.62,-0.06,161.64,0.00
5,Entry short,2023-02-02 15:15," | F:50,9,2,1,0.46,0,1,40.74,1,2.14,19.85,0,80,40.23,95.6,15.9,60.22",1952.83,22,42962.26,105.6,0.25,105.6,0.25,-26.62,-0.06,161.64,0.00
6,Exit long,2023-02-14 10:35,Long Exit,1857.84,36,66925.44,-43.2,-0.06,90.36,0.14,-43.2,-0.06,118.44,0.00
6,Entry long,2023-02-14 09:25," | F:70,21,1,0,0.47,0,1,45.31,0,1.21,29.9,0,100,39.36,94.2,16.8,36.67",1859.04,36,66925.44,-43.2,-0.06,90.36,0.14,-43.2,-0.06,118.44,0.00
7,Exit short,2023-02-14 14:45,Short Exit,1859.99,23,42734,-45.77,-0.11,12.88,0.03,-45.77,-0.11,72.67,0.00
7,Entry short,2023-02-14 14:30," | F:55,21,2,1,0.61,0,0,48.53,0,1.03,30.81,0,100,35.03,90.4,7.8,36.67",1858,23,42734,-45.77,-0.11,12.88,0.03,-45.77,-0.11,72.67,0.00
8,Exit long,2023-02-14 16:25,Long Exit,1851.01,3,5595.45,-42.42,-0.76,6.15,0.11,-42.42,-0.76,30.25,0.00
8,Entry long,2023-02-14 15:30," | F:50,220,2,0,0.34,0,1,66.69,0,8.29,28.23,0,60,46.14,93.6,39.7,44.84",1865.15,3,5595.45,-42.42,-0.76,6.15,0.11,-42.42,-0.76,30.25,0.00
9,Exit short,2023-02-17 19:00,Short Exit,1840.85,15,27567.3,-45.45,-0.16,59.4,0.22,-45.45,-0.16,-15.2,0.00
9,Entry short,2023-02-17 17:35," | F:70,221,2,1,0.72,0,1,72.14,0,1.44,33.31,0,60,46.38,74.8,25.7,50",1837.82,15,27567.3,-45.45,-0.16,59.4,0.22,-45.45,-0.16,-15.2,0.00
10,Exit long,2023-02-20 19:00,Long Exit,1842.23,46,84783.06,-40.48,-0.05,41.4,0.05,-40.48,-0.05,-55.68,0.00
10,Entry long,2023-02-20 17:35," | F:75,82,2,0,1.41,0,1,39.81,0,0.79,22.2,0,100,44.74,98.6,34,36.67",1843.11,46,84783.06,-40.48,-0.05,41.4,0.05,-40.48,-0.05,-55.68,0.00
11,Exit short,2023-02-23 01:05,Time Stop (Bars),1825.63,14,25624.62,65.8,0.26,96.88,0.38,-7.7,-0.03,10.12,0.00
11,Entry short,2023-02-22 21:05," | F:65,9,2,1,0.57,0,0,41.06,0,3.77,26.78,0,80,50,87.2,16,36.67",1830.33,14,25624.62,65.8,0.26,96.88,0.38,-7.7,-0.03,10.12,0.00
12,Exit long,2023-03-01 15:30,Long Exit,1835.66,30,55114.2,-44.4,-0.08,33.6,0.06,-44.4,-0.08,-34.28,0.00
12,Entry long,2023-03-01 15:10," | F:70,12,2,0,1.03,0,1,51,1,1.66,19.7,0,40,41.23,93.2,15,36.67",1837.14,30,55114.2,-44.4,-0.08,33.6,0.06,-44.4,-0.08,-34.28,0.00
13,Exit long,2023-03-03 20:10,Time Stop (Bars),1848.09,13,23953.93,71.24,0.30,79.56,0.33,-20.28,-0.08,36.96,0.00
13,Entry long,2023-03-03 17:10," | F:70,111,2,0,0.47,0,0,39.42,1,1.5,26.43,0,80,35.08,83.4,5.4,36.67",1842.61,13,23953.93,71.24,0.30,79.56,0.33,-20.28,-0.08,36.96,0.00
14,Exit short,2023-03-06 15:20,Short Exit,1852.42,35,64792,-42.7,-0.07,38.15,0.06,-42.7,-0.07,-5.74,0.00
14,Entry short,2023-03-06 15:00," | F:75,31,2,1,0.56,0,0,56.01,1,1.78,19.05,0,80,42.42,76.4,9.6,36.67",1851.2,35,64792,-42.7,-0.07,38.15,0.06,-42.7,-0.07,-5.74,0.00
15,Exit long,2023-03-09 15:30,Long Exit,1820.19,31,56319.87,106.02,0.19,106.02,0.19,-4.96,-0.01,100.28,0.00
15,Entry long,2023-03-09 15:20," | F:75,59,2,0,0.94,0,1,40.17,0,2.31,24.83,0,80,57.3,91.4,28.8,50",1816.77,31,56319.87,106.02,0.19,106.02,0.19,-4.96,-0.01,100.28,0.00
16,Exit long,2023-03-10 13:35,Long Exit,1836.64,26,47646.04,106.6,0.22,106.6,0.22,-10.92,-0.02,206.88,0.00
16,Entry long,2023-03-10 12:00," | F:70,38,1,0,0.49,0,1,43.88,1,1.12,28.18,0,80,43.05,79,26.8,36.67",1832.54,26,47646.04,106.6,0.22,106.6,0.22,-10.92,-0.02,206.88,0.00
17,Exit short,2023-03-14 17:30,Time Stop (Bars),1905.59,8,15247.12,2.4,0.02,84.88,0.56,-41.44,-0.27,209.28,0.00
17,Entry short,2023-03-14 14:30," | F:55,55,2,1,0.43,0,1,56.78,1,4.72,22.28,0,100,51.98,60.8,24.5,50",1905.89,8,15247.12,2.4,0.02,84.88,0.56,-41.44,-0.27,209.28,0.00
18,Exit long,2023-03-15 13:10,Long Exit,1905.33,25,47679.25,-46,-0.10,6.75,0.01,-46,-0.10,163.28,0.00
18,Entry long,2023-03-15 13:05," | F:75,10,1,0,0.98,0,1,65.57,1,0.88,45.43,0,60,53.13,98,40.7,36.67",1907.17,25,47679.25,-46,-0.10,6.75,0.01,-46,-0.10,163.28,0.00
19,Exit long,2023-03-15 19:30,Time Stop (Bars),1927.81,7,13472.83,21.84,0.16,88.13,0.65,-32.13,-0.24,185.12,0.00
19,Entry long,2023-03-15 16:30," | F:70,32,2,0,0.6,0,1,54.93,1,1.08,23.65,0,60,59.58,74,68,37.34",1924.69,7,13472.83,21.84,0.16,88.13,0.65,-32.13,-0.24,185.12,0.00
20,Exit long,2023-03-23 13:30,Time Stop (Bars),1977.54,20,39530.4,20.4,0.05,82.2,0.21,-38.2,-0.10,205.52,0.00
20,Entry long,2023-03-23 10:30," | F:70,61,1,0,0.49,0,1,45.3,1,1.13,17.18,0,60,39.68,89.2,27.4,44.92",1976.52,20,39530.4,20.4,0.05,82.2,0.21,-38.2,-0.10,205.52,0.00
21,Exit long,2023-03-29 22:25,Long Exit,1963.38,19,37349.63,-45.41,-0.12,62.7,0.17,-45.41,-0.12,160.11,0.00
21,Entry long,2023-03-29 20:25," | F:55,13,2,0,1.09,0,1,54.71,1,1.24,15.89,0,100,35.27,99,9.5,36.67",1965.77,19,37349.63,-45.41,-0.12,62.7,0.17,-45.41,-0.12,160.11,0.00
