test_id,symbol,status,liq_pivot_len,structure_mode,pvtMax,liq_max_distance_pips,ai_quality_threshold,min_entry_grade,min_return_strength,risk_reward_ratio,max_trades_per_day
1,EURUSD,pending,7,Standard (Bodies),5,20,60,C,0,1.5,1
2,EURUSD,pending,3,Relaxed (Wicks),10,20,60,A,50,1.5,1
3,EURUSD,pending,3,Relaxed (Wicks),5,15,50,A,30,1.5,1
4,EURUSD,pending,5,Relaxed (Wicks),5,15,70,A,0,2.0,2
5,EURUSD,pending,5,Relaxed (Wicks),5,10,60,C,30,2.0,1
6,EURUSD,pending,3,Standard (Bodies),10,20,50,A,30,3.0,1
7,EURUSD,pending,3,Standard (Bodies),5,15,50,C,30,2.0,2
8,EURUSD,pending,3,Relaxed (Wicks),10,20,50,B+,30,3.0,2
9,EURUSD,pending,7,Standard (Bodies),10,15,50,B+,50,3.0,2
10,EURUSD,pending,7,Relaxed (Wicks),10,10,60,A,0,2.0,2
11,EURUSD,pending,3,Relaxed (Wicks),10,15,60,C,30,3.0,1
12,EURUSD,pending,7,Relaxed (Wicks),10,20,70,B+,50,1.5,2
13,EURUSD,pending,5,Standard (Bodies),10,10,60,C,0,1.5,1
14,EURUSD,pending,3,Relaxed (Wicks),5,15,60,A,30,2.0,1
15,EURUSD,pending,3,Relaxed (Wicks),5,15,60,B+,30,3.0,1
16,EURUSD,pending,3,Relaxed (Wicks),10,15,70,C,30,3.0,2
17,EURUSD,pending,3,Standard (Bodies),10,20,50,C,30,2.0,2
18,EURUSD,pending,3,Standard (Bodies),10,20,70,C,50,2.0,2
19,EURUSD,pending,7,Relaxed (Wicks),5,15,60,B+,50,3.0,2
20,EURUSD,pending,7,Standard (Bodies),5,10,60,C,50,3.0,2
21,EURUSD,pending,3,Relaxed (Wicks),5,15,60,C,0,1.5,2
22,EURUSD,pending,7,Relaxed (Wicks),10,15,60,C,30,1.5,2
23,EURUSD,pending,3,Standard (Bodies),10,15,50,C,30,2.0,1
24,EURUSD,pending,7,Standard (Bodies),5,20,70,B+,50,1.5,2
25,EURUSD,pending,7,Standard (Bodies),10,20,60,B+,0,2.0,2
26,EURUSD,pending,7,Relaxed (Wicks),10,10,60,A,0,1.5,1
27,EURUSD,pending,5,Standard (Bodies),10,10,50,B+,50,3.0,1
28,EURUSD,pending,3,Standard (Bodies),10,20,50,B+,0,3.0,2
29,EURUSD,pending,5,Standard (Bodies),10,15,70,C,30,1.5,2
30,EURUSD,pending,7,Relaxed (Wicks),10,20,70,B+,0,2.0,2
31,EURUSD,pending,5,Relaxed (Wicks),5,20,50,C,30,3.0,1
32,EURUSD,pending,3,Relaxed (Wicks),5,10,50,A,50,3.0,2
33,EURUSD,pending,3,Standard (Bodies),5,20,50,C,30,3.0,2
34,EURUSD,pending,7,Standard (Bodies),10,20,50,A,50,1.5,2
35,EURUSD,pending,5,Standard (Bodies),10,10,60,C,30,1.5,1
36,EURUSD,pending,5,Relaxed (Wicks),10,20,50,B+,50,2.0,2
37,EURUSD,pending,5,Relaxed (Wicks),5,20,50,C,30,2.0,1
38,EURUSD,pending,3,Standard (Bodies),5,15,70,B+,50,1.5,2
39,EURUSD,pending,3,Standard (Bodies),10,15,70,B+,50,3.0,2
40,EURUSD,pending,5,Relaxed (Wicks),10,20,50,C,0,2.0,2
41,EURUSD,pending,3,Relaxed (Wicks),10,20,50,B+,30,2.0,2
42,EURUSD,pending,3,Relaxed (Wicks),10,15,70,C,0,2.0,2
43,EURUSD,pending,5,Standard (Bodies),5,15,50,B+,50,3.0,1
44,EURUSD,pending,3,Relaxed (Wicks),10,15,70,A,0,1.5,1
45,EURUSD,pending,5,Standard (Bodies),5,10,50,B+,30,1.5,1
46,EURUSD,pending,5,Relaxed (Wicks),10,20,60,C,30,2.0,2
47,EURUSD,pending,7,Standard (Bodies),5,10,60,B+,50,1.5,2
48,EURUSD,pending,5,Relaxed (Wicks),5,15,60,C,30,1.5,1
49,EURUSD,pending,3,Relaxed (Wicks),5,20,50,B+,50,1.5,2
50,EURUSD,pending,5,Standard (Bodies),10,20,50,A,0,1.5,2
51,GBPUSD,pending,7,Standard (Bodies),5,20,60,C,0,1.5,1
52,GBPUSD,pending,3,Relaxed (Wicks),10,20,60,A,50,1.5,1
53,GBPUSD,pending,3,Relaxed (Wicks),5,15,50,A,30,1.5,1
54,GBPUSD,pending,5,Relaxed (Wicks),5,15,70,A,0,2.0,2
