Trade #,Day,Session,Entry model,Entry method,Liquidity Distance,+ R (%),Potential R,Win,Loss,BE,RSI,Candle Close,News,Entry Type,Trade Score,Close,Open,SL Pips,Zone Type
1,Thursday,New York,S&D Retest,Candle Close,24,-1%,2%,,Loss,,Between,Beraish,No,Default,A,"June 12, 2025 21:20 (GMT+3)","June 12, 2025 21:00 (GMT+3)",1082,Supply
2,Friday,"London, New York",S&D Retest,Candle Close,666,2.71%,2.71%,,,,Between,Beraish,No,BOC,B+,"June 13, 2025 18:20 (GMT+3)","June 13, 2025 17:35 (GMT+3)",4749,Demand
3,Tuesday,London,S&D Retest,Candle Close,613,-1%,-1%,,Loss,,Between,Bullish,No,Default,A,"June 17, 2025 14:55 (GMT+3)","June 17, 2025 14:25 (GMT+3)",1318,Supply
4,Friday,London,S&D Retest,Candle Close,316,2%,2%,,,,Between,Beraish,No,Default,B+,"July 4, 2025 13:25 (GMT+3)","July 4, 2025 12:50 (GMT+3)",608,Supply
5,Friday,"London, New York",S&D Retest,Candle Close,1050,-1%,2%,,Loss,,Between,Bullish,No,Default,B+,"July 11, 2025 16:30 (GMT+3)","July 11, 2025 14:55 (GMT+3)",1553,Supply
6,Tuesday,London,S&D Retest,Candle Close,210,2%,2%,,,,Between,Bullish,No,BOC,A+,"July 15, 2025 14:05 (GMT+3)","July 15, 2025 14:00 (GMT+3)",1106,Supply
7,Monday,"London, New York",S&D Retest,Candle Close,1363,2%,2%,,,,Between,Bullish,No,Default,B,"July 13, 2025 16:05 (GMT+3)","July 13, 2025 14:15 (GMT+3)",4995,Supply
8,Tuesday,London,S&D Retest,Candle Close,10,2%,2%,,,,Between,Bullish,No,Default,B+,"July 14, 2025 10:35 (GMT+3)","July 14, 2025 10:30 (GMT+3)",3590,Supply
9,Wednesday,"London, New York",S&D Retest,Candle Close,100,1.5%,1.5%,,,,Between,Beraish,No,Default,B+,"October 15, 2025 17:10 (GMT+3)","October 15, 2025 16:50 (GMT+3)",8008,Demand
10,Tuesday,"London, New York",S&D Retest,Candle Close,841,1.5%,1.5%,,,,Between,Beraish,No,Default,B,"October 21, 2025 17:25 (GMT+3)","October 21, 2025 17:20 (GMT+3)",1851,Supply
,,,,,,,,,,,,,No,,,,,,
