Trade #,Day,Session,Entry model,Entry method,Liquidity Distance,+ R (%),Potential R,Win,Loss,BE,RSI,Candle Close,News,Entry Type,Trade Score,Close,Open,SL Pips,Zone Type
1,Tuesday,London,S&D Retest,Candle Close,66,3%,3%,,,,Between,Bullish,No,Flip,A,"January 2, 2024 11:10 (GMT+2)","January 2, 2024 10:30 (GMT+2)",95,Demand
2,Wednesday,"Sydney, Tokyo",S&D Retest,Candle Close,54,3%,3%,,,,Between,Beraish,No,Default,B,"January 3, 2024 7:20 (GMT+2)","January 3, 2024 7:15 (GMT+2)",30,Demand
3,Thursday,"London, New York",S&D Retest,Candle Close,34,-1%,2%,,Loss,,Between,Bullish,No,Default,A,"January 4, 2024 15:20 (GMT+2)","January 4, 2024 14:05 (GMT+2)",168,Demand
4,Friday,"London, New York",S&D Retest,Candle Close,28,2.5%,2.5%,,,,Between,Beraish,No,Default,A+,"January 5, 2024 15:30 (GMT+2)","January 5, 2024 15:20 (GMT+2)",140,Supply
5,Tuesday,"London, New York",S&D Retest,Candle Close,42,2%,2%,,,,Between,Bullish,No,Default,A+,"January 9, 2024 15:35 (GMT+2)","January 9, 2024 15:25 (GMT+2)",181,Demand
6,Tuesday,New York,S&D Retest,Candle Close,72,4.5%,4.5%,,,,Between,Beraish,No,BOC,A,"January 9, 2024 22:00 (GMT+2)","January 9, 2024 21:45 (GMT+2)",54,Demand
7,Tuesday,"New York, Sydney",S&D Retest,Candle Close,155,4.5%,4.5%,,,,Between,Bullish,No,BOC,A,"January 10, 2024 1:30 (GMT+2)","January 9, 2024 22:15 (GMT+2)",54,Supply
8,Wednesday,New York,S&D Retest,Candle Close,20,3%,3%,,,,Between,Bullish,No,Default,A,"January 10, 2024 19:50 (GMT+2)","January 10, 2024 19:00 (GMT+2)",98,Supply
9,Thursday,London,S&D Retest,Candle Close,4,-1%,2%,,Loss,,Between,Beraish,No,Default,A,"January 11, 2024 10:45 (GMT+2)","January 11, 2024 10:10 (GMT+2)",147,Demand
10,Thursday,London,S&D Retest,Candle Close,7,-1%,3%,,Loss,,Between,Beraish,No,Default,A,"January 11, 2024 13:20 (GMT+2)","January 11, 2024 12:40 (GMT+2)",112,Supply
11,Monday,London,S&D Retest,Candle Close,6,-1%,2%,,Loss,,Between,Beraish,No,Default,A,"January 15, 2024 11:35 (GMT+2)","January 15, 2024 11:05 (GMT+2)",184,Demand
12,Monday,"London, New York",S&D Retest,Candle Close,6,-1%,4.5%,,Loss,,Between,Bullish,No,Default,A,"January 15, 2024 16:30 (GMT+2)","January 15, 2024 15:30 (GMT+2)",66,Demand
13,Tuesday,"London, New York",S&D Retest,Candle Close,43,-1%,2%,,Loss,,Between,Bullish,No,Default,B,"January 16, 2024 17:35 (GMT+2)","January 16, 2024 17:10 (GMT+2)",172,Supply
14,Wednesday,London,S&D Retest,Candle Close,60,2.5%,2.5%,,,,Between,Beraish,No,Default,A,"January 17, 2024 10:45 (GMT+2)","January 17, 2024 10:00 (GMT+2)",137,Supply
15,Wednesday,"London, New York",S&D Retest,Candle Close,29,4.5%,4.5%,,,,Between,Beraish,No,Flip,A,"January 17, 2024 15:30 (GMT+2)","January 17, 2024 15:30 (GMT+2)",86,Demand
16,Thursday,London,S&D Retest,Candle Close,78,-1%,3%,,Loss,,Between,Bullish,No,Default,A,"January 18, 2024 13:40 (GMT+2)","January 18, 2024 11:35 (GMT+2)",101,Supply
17,Monday,"New York, Sydney",S&D Retest,Candle Close,15,-1%,4.5%,,Loss,,Between,Bullish,No,Default,A,"January 22, 2024 23:40 (GMT+2)","January 22, 2024 23:00 (GMT+2)",50,Supply
18,Tuesday,London,S&D Retest,Candle Close,19,-1%,2%,,Loss,,Between,Beraish,No,BOC,A,"January 23, 2024 11:50 (GMT+2)","January 23, 2024 9:25 (GMT+2)",251,Demand
19,Friday,"London, Tokyo",S&D Retest,Candle Close,27,3%,3%,,,,Between,Bullish,No,Default,A,"January 26, 2024 9:00 (GMT+2)","January 26, 2024 7:55 (GMT+2)",52,Supply
20,Friday,London,S&D Retest,Candle Close,101,-1%,2.5%,,Loss,,Between,Bullish,No,BOC,A,"January 26, 2024 11:00 (GMT+2)","January 26, 2024 9:15 (GMT+2)",112,Demand
21,Friday,"London, New York",S&D Retest,Candle Close,99,-1%,2%,,Loss,,Between,Beraish,No,BOC,A,"January 26, 2024 17:00 (GMT+2)","January 26, 2024 15:40 (GMT+2)",333,Demand
22,Monday,"Sydney, Tokyo",S&D Retest,Candle Close,29,-1%,3%,,Loss,,Between,Bullish,No,Default,A,"January 29, 2024 7:25 (GMT+2)","January 29, 2024 7:10 (GMT+2)",96,Demand
23,Monday,"London, New York",S&D Retest,Candle Close,8,2%,2%,,,,Between,Beraish,No,Default,A,"January 29, 2024 15:25 (GMT+2)","January 29, 2024 12:45 (GMT+2)",190,Demand
24,Wednesday,New York,S&D Retest,Candle Close,49,3%,3%,,,,Between,Beraish,No,Flip,A+,"January 31, 2024 20:40 (GMT+2)","January 31, 2024 20:30 (GMT+2)",62,Supply
25,Tuesday,"London, New York",S&D Retest,Candle Close,39,1.5%,1.5%,,,,Between,Beraish,No,BOC,A,"January 30, 2024 15:55 (GMT+2)","January 30, 2024 13:35 (GMT+2)",280,Demand
26,Thursday,"London, New York",S&D Retest,Candle Close,18,-1%,2%,,Loss,,Between,Beraish,No,Default,A,"February 1, 2024 15:25 (GMT+2)","February 1, 2024 15:15 (GMT+2)",176,Demand
27,Thursday,"London, New York",S&D Retest,Candle Close,32,-1%,2%,,Loss,,Between,Bullish,No,Default,A,"February 1, 2024 15:50 (GMT+2)","February 1, 2024 15:45 (GMT+2)",150,Supply
28,Thursday,"New York, Sydney",S&D Retest,Candle Close,17,-1%,2.5%,,Loss,,Between,Beraish,No,Default,A+,"February 1, 2024 1:20 (GMT+2)","February 1, 2024 22:35 (GMT+2)",100,Supply
29,Friday,London,S&D Retest,Candle Close,35,-1%,2.5%,,Loss,,Between,Bullish,No,Default,A,"February 2, 2024 11:55 (GMT+2)","February 2, 2024 11:05 (GMT+2)",112,Demand
30,Monday,"New York, Sydney, Tokyo",S&D Retest,Candle Close,88,-1%,4.5%,,Loss,,Between,Beraish,No,Default,A,"February 5, 2024 1:30 (GMT+2)","February 5, 2024 22:20 (GMT+2)",44,Demand
31,Tuesday,"London, Tokyo",S&D Retest,Candle Close,26,-1%,3%,,Loss,,Between,Beraish,No,Default,A,"February 6, 2024 10:15 (GMT+2)","February 6, 2024 10:10 (GMT+2)",59,Demand
32,Tuesday,New York,S&D Retest,Candle Close,35,-1%,3%,,Loss,,Between,Beraish,No,Default,A,"February 6, 2024 16:45 (GMT+2)","February 6, 2024 16:35 (GMT+2)",59,Demand
33,Wednesday,London,S&D Retest,Candle Close,71,-1%,4.5%,,Loss,,Between,Beraish,No,Default,A,"February 7, 2024 12:25 (GMT+2)","February 7, 2024 12:10 (GMT+2)",57,Demand
34,Wednesday,"London, New York",S&D Retest,Candle Close,54,2%,2%,,,,Between,Beraish,No,BOC,A,"February 7, 2024 16:40 (GMT+2)","February 7, 2024 16:35 (GMT+2)",224,Demand
35,Friday,London,S&D Retest,Candle Close,6,-1%,3%,,Loss,,Between,Beraish,No,BOC,B,"February 9, 2024 10:10 (GMT+2)","February 9, 2024 10:05 (GMT+2)",57,Demand
36,Tuesday,New York,S&D Retest,Candle Close,55,-1%,4.5%,,Loss,,Between,Beraish,No,Default,A,"February 13, 2024 21:25 (GMT+2)","February 13, 2024 21:20 (GMT+2)",41,Demand
37,Monday,"London, Tokyo",S&D Retest,Candle Close,3,3%,3%,,,,Between,Bullish,No,BOC,A+,"February 12, 2024 9:50 (GMT+2)","February 12, 2024 9:15 (GMT+2)",64,Demand
38,Wednesday,"London, Tokyo",S&D Retest,Candle Close,3,-1%,4.5%,,Loss,,Between,Beraish,No,Default,A,"February 14, 2024 8:45 (GMT+2)","February 14, 2024 8:15 (GMT+2)",48,Demand
39,Monday,New York,S&D Retest,Candle Close,10,3%,3%,,,,Between,Beraish,No,BOC,A+,"February 19, 2024 18:00 (GMT+2)","February 19, 2024 17:00 (GMT+2)",80,Supply
40,Tuesday,"London, New York",S&D Retest,Candle Close,25,2.5%,2.5%,,,,Between,Beraish,No,BOC,A,"February 20, 2024 15:45 (GMT+2)","February 20, 2024 15:00 (GMT+2)",125,Demand
41,Wednesday,"London, New York",S&D Retest,Candle Close,63,-1%,3%,,Loss,,Between,Beraish,No,Default,A+,"February 21, 2024 15:00 (GMT+2)","February 21, 2024 13:00 (GMT+2)",73,Demand
42,Thursday,London,S&D Retest,Candle Close,14,-1%,3%,,Loss,,Between,Beraish,No,BOC,B,"February 29, 2024 11:35 (GMT+2)","February 29, 2024 11:25 (GMT+2)",58,Demand
43,Thursday,London,S&D Retest,Candle Close,55,-1%,3%,,Loss,,Between,Bullish,No,Default,A,"March 4, 2024 10:45 (GMT+2)","March 4, 2024 10:40 (GMT+2)",58,Demand
44,Tuesday,"London, Tokyo",S&D Retest,Candle Close,16,3%,3%,,,,Between,Bullish,No,Default,A+,"March 4, 2024 10:05 (GMT+2)","March 5, 2024 9:15 (GMT+2)",88,Demand
45,Tuesday,New York,S&D Retest,Candle Close,60,-1%,2.5%,,Loss,,Between,Bullish,No,Default,A,"March 12, 2024 19:25 (GMT+2)","March 12, 2024 19:15 (GMT+2)",153,Demand
46,Tuesday,"London, Tokyo",S&D Retest,Candle Close,15,-1%,2%,,Loss,,Between,Beraish,No,Default,A,"March 12, 2024 19:25 (GMT+2)","March 13, 2024 8:00 (GMT+2)",153,Demand
47,Friday,New York,S&D Retest,Candle Close,23,1.5%,1.5%,,,,Between,Bullish,No,Default,A,"March 15, 2024 17:45 (GMT+2)","March 15, 2024 17:00 (GMT+2)",266,Supply
48,Wednesday,"London, New York",S&D Retest,Candle Close,22,2.5%,2.5%,,,,Between,Beraish,No,Default,A+,"March 20, 2024 15:25 (GMT+2)","March 20, 2024 15:10 (GMT+2)",123,Supply
