Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-01-10 15:30,Long Exit,2674.85,90,240991.2,-254.7,-0.11,279.9,0.12,-254.7,-0.11,-254.7,0.00
1,Entry long,2025-01-10 14:40,Long,2677.68,90,240991.2,-254.7,-0.11,279.9,0.12,-254.7,-0.11,-254.7,0.00
2,Exit long,2025-01-10 18:30,Long Exit,2686.96,38,102232.54,-128.06,-0.13,95.38,0.09,-128.06,-0.13,-382.76,0.00
2,Entry long,2025-01-10 18:05,Long,2690.33,38,102232.54,-128.06,-0.13,95.38,0.09,-128.06,-0.13,-382.76,0.00
3,Exit short,2025-01-13 21:00,Short Exit,2657.01,112,297956.96,371.84,0.12,371.84,0.12,-189.28,-0.06,-10.92,0.00
3,Entry short,2025-01-13 20:20,Short,2660.33,112,297956.96,371.84,0.12,371.84,0.12,-189.28,-0.06,-10.92,0.00
4,Exit short,2025-01-14 15:20,Short Exit,2666.3,194,517883,620.8,0.12,620.8,0.12,-248.32,-0.05,609.88,0.01
4,Entry short,2025-01-14 15:05,Short,2669.5,194,517883,620.8,0.12,620.8,0.12,-248.32,-0.05,609.88,0.01
5,Exit long,2025-01-14 15:30,Long Exit,2670.95,51,136031.79,186.66,0.14,186.66,0.14,-1.53,0.00,796.54,0.01
5,Entry long,2025-01-14 15:25,Long,2667.29,51,136031.79,186.66,0.14,186.66,0.14,-1.53,0.00,796.54,0.01
6,Exit long,2025-01-15 13:15,Long Exit,2686.18,556,1493799.64,-283.56,-0.02,77.84,0.01,-283.56,-0.02,512.98,0.01
6,Entry long,2025-01-15 13:10,Long,2686.69,556,1493799.64,-283.56,-0.02,77.84,0.01,-283.56,-0.02,512.98,0.01
7,Exit short,2025-01-16 09:45,Short Exit,2699.11,96,258859.2,-255.36,-0.10,39.36,0.02,-255.36,-0.10,257.62,0.00
7,Entry short,2025-01-16 09:15,Short,2696.45,96,258859.2,-255.36,-0.10,39.36,0.02,-255.36,-0.10,257.62,0.00
8,Exit long,2025-01-16 14:05,Long Exit,2704.42,58,156985.7,-129.34,-0.08,37.7,0.02,-129.34,-0.08,128.28,0.00
8,Entry long,2025-01-16 14:00,Long,2706.65,58,156985.7,-129.34,-0.08,37.7,0.02,-129.34,-0.08,128.28,0.00
9,Exit short,2025-01-16 15:10,Short Exit,2705.61,74,199962.06,-253.08,-0.13,58.46,0.03,-253.08,-0.13,-124.8,0.00
9,Entry short,2025-01-16 15:00,Short,2702.19,74,199962.06,-253.08,-0.13,58.46,0.03,-253.08,-0.13,-124.8,0.00
10,Exit short,2025-01-17 17:15,Short Exit,2711.23,234,635047.92,620.1,0.10,620.1,0.10,-105.3,-0.02,495.3,0.00
10,Entry short,2025-01-17 17:05,Short,2713.88,234,635047.92,620.1,0.10,620.1,0.10,-105.3,-0.02,495.3,0.00
11,Exit short,2025-01-20 15:35,Short Exit,2703.02,81,219318.03,373.41,0.17,373.41,0.17,-36.45,-0.02,868.71,0.01
11,Entry short,2025-01-20 15:30,Short,2707.63,81,219318.03,373.41,0.17,373.41,0.17,-36.45,-0.02,868.71,0.01
12,Exit long,2025-01-21 15:55,Long Exit,2725.32,103,280964.43,-256.47,-0.09,179.22,0.06,-256.47,-0.09,612.24,0.01
12,Entry long,2025-01-21 15:30,Long,2727.81,103,280964.43,-256.47,-0.09,179.22,0.06,-256.47,-0.09,612.24,0.01
13,Exit long,2025-01-22 10:35,Long Exit,2752.77,105,288669.15,371.7,0.13,371.7,0.13,-16.8,-0.01,983.94,0.01
13,Entry long,2025-01-22 10:05,Long,2749.23,105,288669.15,371.7,0.13,371.7,0.13,-16.8,-0.01,983.94,0.01
14,Exit short,2025-01-27 10:35,Short Exit,2758.67,97,267335.88,-255.11,-0.10,20.37,0.01,-255.11,-0.10,728.83,0.01
14,Entry short,2025-01-27 10:20,Short,2756.04,97,267335.88,-255.11,-0.10,20.37,0.01,-255.11,-0.10,728.83,0.01
15,Exit short,2025-01-27 11:00,Short Exit,2759.91,49,135108.19,-127.4,-0.09,87.71,0.06,-127.4,-0.09,601.43,0.01
15,Entry short,2025-01-27 10:45,Short,2757.31,49,135108.19,-127.4,-0.09,87.71,0.06,-127.4,-0.09,601.43,0.01
16,Exit short,2025-01-29 22:10,Short Exit,2757.92,43,118339.87,-250.69,-0.21,35.26,0.03,-250.69,-0.21,350.74,0.00
16,Entry short,2025-01-29 21:45,Short,2752.09,43,118339.87,-250.69,-0.21,35.26,0.03,-250.69,-0.21,350.74,0.00
17,Exit short,2025-01-31 20:00,Short Exit,2807.77,73,205338.78,371.57,0.18,371.57,0.18,-32.12,-0.02,722.31,0.01
17,Entry short,2025-01-31 19:45,Short,2812.86,73,205338.78,371.57,0.18,371.57,0.18,-32.12,-0.02,722.31,0.01
18,Exit short,2025-02-04 10:35,Short Exit,2813.11,102,287314.62,377.4,0.13,377.4,0.13,-87.72,-0.03,1099.71,0.01
18,Entry short,2025-02-04 10:20,Short,2816.81,102,287314.62,377.4,0.13,377.4,0.13,-87.72,-0.03,1099.71,0.01
19,Exit short,2025-02-04 14:45,Short Exit,2821.01,227,640230.8,-138.47,-0.02,288.29,0.05,-138.47,-0.02,961.24,0.01
19,Entry short,2025-02-04 14:35,Short,2820.4,227,640230.8,-138.47,-0.02,288.29,0.05,-138.47,-0.02,961.24,0.01
20,Exit short,2025-02-04 22:20,Short Exit,2841.39,347,986701.44,739.11,0.07,739.11,0.07,-211.67,-0.02,1700.35,0.02
20,Entry short,2025-02-04 21:35,Short,2843.52,347,986701.44,739.11,0.07,739.11,0.07,-211.67,-0.02,1700.35,0.02
