event,zone_id,type,created_bar,created_time,top,bottom,is_accuracy,is_historical,score,grade,invalidated_bar,invalidated_time
creation,1,demand,98.0,2025-01-02T07:10:00+00:00,2634.82,2634.23,False,False,70.0,B+,,
creation,2,demand,97.0,2025-01-02T07:05:00+00:00,2634.31,2634.19,True,True,80.0,A,,
creation,3,demand,93.0,2025-01-02T06:45:00+00:00,2634.12,2633.71,True,True,75.0,B+,,
creation,4,demand,90.0,2025-01-02T06:30:00+00:00,2634.24,2633.62,True,True,75.0,B+,,
creation,5,demand,86.0,2025-01-02T06:10:00+00:00,2632.43,2631.48,True,True,75.0,B+,,
creation,6,supply,81.0,2025-01-02T05:45:00+00:00,2635.0,2634.93,True,True,55.0,C+,,
creation,7,demand,76.0,2025-01-02T05:20:00+00:00,2634.21,2633.63,False,True,65.0,B,,
creation,8,demand,72.0,2025-01-02T05:00:00+00:00,2633.98,2633.13,True,True,75.0,B+,,
creation,9,demand,68.0,2025-01-02T04:40:00+00:00,2632.44,2632.0,False,True,65.0,B,,
creation,10,supply,66.0,2025-01-02T04:30:00+00:00,2632.87,2632.35,True,True,55.0,C+,,
creation,11,supply,63.0,2025-01-02T04:15:00+00:00,2632.99,2632.17,True,True,55.0,C+,,
creation,12,supply,59.0,2025-01-02T03:55:00+00:00,2633.69,2632.84,True,True,55.0,C+,,
creation,13,supply,56.0,2025-01-02T03:40:00+00:00,2633.47,2632.41,True,True,55.0,C+,,
creation,14,demand,50.0,2025-01-02T03:10:00+00:00,2633.87,2633.14,False,True,65.0,B,,
creation,15,supply,47.0,2025-01-02T02:55:00+00:00,2635.34,2633.8,False,True,45.0,C,,
creation,16,demand,45.0,2025-01-02T02:45:00+00:00,2633.62,2632.31,False,True,65.0,B,,
creation,17,supply,43.0,2025-01-02T02:35:00+00:00,2635.76,2634.13,False,True,45.0,C,,
creation,18,supply,40.0,2025-01-02T02:20:00+00:00,2636.54,2634.05,False,True,45.0,C,,
creation,19,demand,33.0,2025-01-02T01:45:00+00:00,2633.64,2631.81,False,True,65.0,B,,
creation,20,demand,23.0,2025-01-02T00:55:00+00:00,2626.86,2625.31,False,True,65.0,B,,
creation,21,supply,20.0,2025-01-02T00:40:00+00:00,2627.46,2626.03,False,True,45.0,C,,
creation,22,demand,18.0,2025-01-02T00:30:00+00:00,2626.38,2625.39,False,True,65.0,B,,
creation,23,demand,15.0,2025-01-02T00:15:00+00:00,2625.72,2625.11,False,True,65.0,B,,
creation,24,demand,12.0,2025-01-02T00:00:00+00:00,2624.05,2622.64,False,True,65.0,B,,
creation,25,supply,10.0,2025-01-01T23:50:00+00:00,2624.03,2622.95,False,True,45.0,C,,
creation,26,demand,8.0,2025-01-01T23:40:00+00:00,2622.88,2621.88,False,True,65.0,B,,
invalidation,25,,,,,,,,,,100.0,2025-01-02T07:20:00+00:00
invalidation,21,,,,,,,,,,100.0,2025-01-02T07:20:00+00:00
invalidation,18,,,,,,,,,,100.0,2025-01-02T07:20:00+00:00
invalidation,17,,,,,,,,,,100.0,2025-01-02T07:20:00+00:00
invalidation,15,,,,,,,,,,100.0,2025-01-02T07:20:00+00:00
invalidation,13,,,,,,,,,,100.0,2025-01-02T07:20:00+00:00
invalidation,12,,,,,,,,,,100.0,2025-01-02T07:20:00+00:00
invalidation,11,,,,,,,,,,100.0,2025-01-02T07:20:00+00:00
invalidation,10,,,,,,,,,,100.0,2025-01-02T07:20:00+00:00
invalidation,6,,,,,,,,,,100.0,2025-01-02T07:20:00+00:00
invalidation,1,,,,,,,,,,101.0,2025-01-02T07:25:00+00:00
creation,27,supply,101.0,2025-01-02T07:25:00+00:00,2635.91,2635.49,True,False,60.0,B,,
invalidation,19,,,,,,,,,,102.0,2025-01-02T07:30:00+00:00
invalidation,16,,,,,,,,,,102.0,2025-01-02T07:30:00+00:00
invalidation,14,,,,,,,,,,102.0,2025-01-02T07:30:00+00:00
invalidation,8,,,,,,,,,,102.0,2025-01-02T07:30:00+00:00
invalidation,7,,,,,,,,,,102.0,2025-01-02T07:30:00+00:00
invalidation,4,,,,,,,,,,102.0,2025-01-02T07:30:00+00:00
invalidation,3,,,,,,,,,,102.0,2025-01-02T07:30:00+00:00
invalidation,2,,,,,,,,,,102.0,2025-01-02T07:30:00+00:00
creation,28,demand,103.0,2025-01-02T07:35:00+00:00,2634.08,2632.96,False,False,70.0,B+,,
invalidation,28,,,,,,,,,,104.0,2025-01-02T07:40:00+00:00
invalidation,27,,,,,,,,,,108.0,2025-01-02T08:00:00+00:00
creation,29,supply,108.0,2025-01-02T08:00:00+00:00,2636.39,2635.05,False,False,50.0,C+,,
invalidation,29,,,,,,,,,,109.0,2025-01-02T08:05:00+00:00
invalidation,9,,,,,,,,,,113.0,2025-01-02T08:25:00+00:00
invalidation,5,,,,,,,,,,113.0,2025-01-02T08:25:00+00:00
creation,30,demand,113.0,2025-01-02T08:25:00+00:00,2633.37,2631.31,False,False,70.0,B+,,
invalidation,30,,,,,,,,,,114.0,2025-01-02T08:30:00+00:00
creation,31,demand,119.0,2025-01-02T08:55:00+00:00,2635.57,2635.52,True,False,80.0,A,,
creation,32,supply,121.0,2025-01-02T09:05:00+00:00,2639.38,2638.03,False,False,50.0,C+,,
invalidation,32,,,,,,,,,,122.0,2025-01-02T09:10:00+00:00
creation,33,demand,125.0,2025-01-02T09:25:00+00:00,2637.4,2637.3,True,False,80.0,A,,
invalidation,33,,,,,,,,,,126.0,2025-01-02T09:30:00+00:00
creation,34,demand,128.0,2025-01-02T09:40:00+00:00,2637.79,2636.81,False,False,70.0,B+,,
invalidation,34,,,,,,,,,,129.0,2025-01-02T09:45:00+00:00
creation,35,supply,130.0,2025-01-02T09:50:00+00:00,2637.55,2637.25,True,False,60.0,B,,
invalidation,31,,,,,,,,,,132.0,2025-01-02T10:00:00+00:00
creation,36,demand,133.0,2025-01-02T10:05:00+00:00,2635.56,2632.71,False,False,70.0,B+,,
invalidation,35,,,,,,,,,,134.0,2025-01-02T10:10:00+00:00
creation,37,supply,137.0,2025-01-02T10:25:00+00:00,2646.09,2644.38,False,False,50.0,C+,,
invalidation,37,,,,,,,,,,139.0,2025-01-02T10:35:00+00:00
creation,38,supply,140.0,2025-01-02T10:40:00+00:00,2645.24,2643.64,False,False,50.0,C+,,
creation,39,demand,143.0,2025-01-02T10:55:00+00:00,2642.98,2641.75,False,False,70.0,B+,,
invalidation,38,,,,,,,,,,145.0,2025-01-02T11:05:00+00:00
creation,40,supply,147.0,2025-01-02T11:15:00+00:00,2644.36,2644.14,True,False,55.0,C+,,
invalidation,39,,,,,,,,,,148.0,2025-01-02T11:20:00+00:00
creation,41,demand,151.0,2025-01-02T11:35:00+00:00,2641.77,2640.38,False,False,65.0,B,,
invalidation,41,,,,,,,,,,156.0,2025-01-02T12:00:00+00:00
creation,42,supply,156.0,2025-01-02T12:00:00+00:00,2642.86,2641.99,True,False,55.0,C+,,
creation,43,demand,158.0,2025-01-02T12:10:00+00:00,2640.77,2640.32,True,False,75.0,B+,,
invalidation,42,,,,,,,,,,160.0,2025-01-02T12:20:00+00:00
invalidation,40,,,,,,,,,,162.0,2025-01-02T12:30:00+00:00
