source_file,source_sheet,instrument,date,entry_time,hour,entry_type,side,rr,liquidity_tp_hit,comments
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-01-07,11:20,11,Directional,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-01-08,08:30,8,Flip,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-01-09,12:50,12,BoC,Buys,2.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-01-09,14:30,14,BoC,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-01-14,12:40,12,Directional,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-01-22,08:05,8,BoC,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-01-27,08:20,8,Directional,Sells,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-01-30,13:35,13,BoC,Buys,2.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-02-04,08:20,8,Directional,Sells,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-02-05,07:10,7,BoC,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-02-05,11:00,11,Flip,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-02-10,14:05,14,Directional,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-02-21,12:00,12,Flip,Buys,4.0,N,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-02-24,08:40,8,Directional,Buys,2.5,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-02-28,09:30,9,Flip,Sells,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-03-03,13:10,13,BoC,Buys,2.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-03-14,10:50,10,BoC,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-03-18,13:40,13,Directional,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-03-28,14:40,14,Directional,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-04-02,14:55,14,BoC,Buys,3.5,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-04-10,11:05,11,Directional,Sells,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-04-10,15:00,15,BoC,Buys,-1.0,Y,End of Session retest
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-04-11,15:00,15,Flip,Buys,4.0,Y,End of Session again
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-04-14,10:15,10,BoC,Sells,3.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-04-25,13:35,13,2nd Flip,Sells,2.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-05-01,13:45,13,Directional,Sells,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-05-08,15:00,15,Flip,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-05-16,08:05,8,Directional,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-05-20,13:20,13,BoC,Buys,2.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-06-02,14:30,14,Flip,Buys,2.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-06-04,08:35,8,Flip,Sells,4.0,N,No 30m bottom wick
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-06-06,09:45,9,Directional,Sells,-1.0,-,"Stopped by 1pip, ran to 1:8RR"
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-06-09,14:30,14,Flip,Buys,4.0,Y,"B setup, technically valid"
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-06-10,09:50,9,Flip,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-06-17,08:25,8,BoC,Sells,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-06-23,13:40,13,BoC,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-06-27,10:00,10,Flip,Sells,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-06-30,12:30,12,Flip,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-06-30,14:15,14,Directional,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-07-01,12:45,12,BoC,Buys,2.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-07-09,14:40,14,Directional,Buys,2.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-07-11,08:00,8,Flip,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-07-15,07:35,7,BoC,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-07-15,09:30,9,Flip,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-07-18,11:05,11,Directional,Buys,3.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-07-23,08:20,8,BoC,Sells,4.0,N,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-07-23,11:50,11,Directional,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-07-30,12:45,12,Directional,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-08-01,08:05,8,Directional,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-08-06,07:35,7,Directional,Sells,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-08-08,07:05,7,Directional,Sells,2.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-08-15,14:00,14,Flip,Sells,3.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-08-18,09:20,9,Directional,Buys,4.0,N,B setup
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-08-20,09:35,9,BoC,Buys,3.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-08-21,10:50,10,Directional,Sells,3.0,Y,B setup
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-09-09,13:40,13,Directional,Buys,4.0,Y,B setup
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-09-15,13:20,13,Directional,Buys,2.5,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-09-16,14:10,14,Directional,Buys,-1.0,-,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-09-16,14:20,14,Directional,Buys,4.0,Y,Reentry 
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-09-29,14:05,14,Directional,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-10-06,07:10,7,Directional,Buys,4.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-10-16,13:45,13,Directional,Buys,2.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-10-29,13:35,13,Directional,Buys,-1.0,-,Hella resistance
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-11-03,09:45,9,Directional,Buys,-1.0,-,"was aiming 1:4, hit 1:3.9R"
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-11-04,13:15,13,Directional,Sells,3.0,Y,
Backtesting Spreadsheet (1).xlsx,GC1! Backtest,GC1!,2025-11-12,11:30,11,Flip,Buys,4.0,Y,
