review_status,final_tier,rule_id,rule_type,critical_extracted,confidence,pine_coverage_extracted,normalized_rule,source_file,timestamp,final_pine_coverage,notes
needs_review,,liq_753,liquidity_rule,True,high,ambiguous,enough to form valid liquidity. Right? This right here makes a high. If we then drop and take out the lows and only have.,The Trading Strategy That Changed My Life - RD Concepts Full Guide.txt,28:33,,
needs_review,,liq_768,liquidity_rule,True,high,ambiguous,"it's still fairly recent that we just took out liquidity, I'll still take the position. So really the only bad.",The Trading Strategy That Changed My Life - RD Concepts Full Guide.txt,37:10,,
needs_review,,liq_743,liquidity_rule,True,high,ambiguous,"obviously moving downwards form that liquidity. When it's only one candle,.",The Trading Strategy That Changed My Life - RD Concepts Full Guide.txt,26:14,,
needs_review,,liq_499,liquidity_rule,True,high,ambiguous,105:45 liquidity that was the only thing but we.,Live backtesting - UK100 new pair found - gold and nas100 are trash!.txt,,,
needs_review,,liq_076,liquidity_rule,True,high,ambiguous,takeprofit at liquidity. [ __ ] is always.,89% Winrate Day Trading Backtesting Session.txt,05:04,,
needs_review,,liq_247,liquidity_rule,True,high,ambiguous,liquidity must take out its own high you.,FULL course for LIQUIDITY supply and demand best NEW trading strategy 2025.txt,05:08,,
needs_review,,liq_398,liquidity_rule,True,high,ambiguous,completely invalid because the liquidity.,Liquidity Supply & Demand Scalping Strategy FULL COURSE (Updated 2025).txt,07:03,,
needs_review,,liq_399,liquidity_rule,True,high,ambiguous,"never take sals. Thirdly, liquidity must.",Liquidity Supply & Demand Scalping Strategy FULL COURSE (Updated 2025).txt,08:38,,
needs_review,,liq_443,liquidity_rule,True,high,ambiguous,there was any liquidity. I'd always look.,Live Trade Breakdown - 7.5% on GbpJpy (Realistic Strategy).txt,11:32,,
needs_review,,liq_508,liquidity_rule,True,high,ambiguous,it didn't so that's invalid liquidity so.,Live trading GBPJPY - easy 15 using supply & demand + liquidity trading strategy (5m timeframe).txt,07:41,,
needs_review,,liq_024,liquidity_rule,True,high,ambiguous,"as always. Liquidity gets created, come.",+8RR in 2 Days Using Liquidity Supply & Demand (5m Strategy).txt,09:33,,
needs_review,,liq_097,liquidity_rule,True,high,ambiguous,"liquidity, then we never broke this low.",89% Winrate Day Trading Backtesting Session.txt,17:03,,
needs_review,,liq_246,liquidity_rule,True,high,ambiguous,liquidity must take out its own high so.,FULL course for LIQUIDITY supply and demand best NEW trading strategy 2025.txt,03:46,,
needs_review,,liq_248,liquidity_rule,True,high,ambiguous,in this strategy so liquidity must take.,FULL course for LIQUIDITY supply and demand best NEW trading strategy 2025.txt,05:20,,
needs_review,,liq_303,liquidity_rule,True,high,ambiguous,liquidity. Uh it's only 30 on GBP and Y.,First 5m livestream (1 win 1 loss) 12.5r trade on gj.txt,65:51,,
needs_review,,liq_344,liquidity_rule,True,high,ambiguous,liquidity. Liquidity is always going to.,"I Made $1,500 on NQ in 1 Hour (Discord Trade Breakdown).txt",01:18,,
needs_review,,liq_349,liquidity_rule,True,high,ambiguous,"liquidity, I'm never going to say no to.","I Made $1,500 on NQ in 1 Hour (Discord Trade Breakdown).txt",03:30,,
needs_review,,liq_624,liquidity_rule,True,high,ambiguous,"after we've made our liquidity, we must.",The Supply & Demand Strategy That Changed My Life (2026 Full Course).txt,12:02,,
needs_review,,liq_070,liquidity_rule,True,high,ambiguous,liquidity and we never broke liquidity.,89% Winrate Day Trading Backtesting Session.txt,02:58,,
needs_review,,liq_264,liquidity_rule,True,high,ambiguous,only been valid if this liquidity took.,FULL course for LIQUIDITY supply and demand best NEW trading strategy 2025.txt,07:18,,
needs_review,,liq_316,liquidity_rule,True,high,ambiguous,liquidity. [snorts] This one's invalid.,"How I Made $6,320 on One Trade this Week (5m TF Breakdown).txt",02:43,,
needs_review,,liq_383,liquidity_rule,True,high,ambiguous,always be liquidity there. But we have.,Liquidity Supply & Demand Scalping Strategy FULL COURSE (Updated 2025).txt,01:30,,
needs_review,,liq_437,liquidity_rule,True,high,ambiguous,which is always good because liquidity.,Live Trade Breakdown - 7.5% on GbpJpy (Realistic Strategy).txt,05:05,,
