score,fresh,session,zone_type,atr_ratio,is_accuracy,trend,rsi,htf_trend,rvol,adx,touch_count,base_quality,departure_strength,liquidity_distance,liquidity_spread,liquidity_distance_score,liquidity_spread_score,return_strength,outcome
70,9,2,1,0.47,0,0,29.5,0,0.0,17.73,1,0,35.23,0.1,7.2,99.8,7.2,36.67,1
75,12,2,0,0.57,1,0,52.59,0,0.0,12.67,1,100,35.49,4.3,3.2,91.4,3.2,36.67,0
100,11,2,0,0.51,1,0,48.63,0,0.0,19.58,1,0,50.0,1.6,11.4,96.8,11.4,100.0,0
85,93,0,0,0.97,0,0,33.61,1,0.0,33.71,1,100,50.0,1.0,9.3,98.0,9.3,100.0,0
75,7,1,0,0.35,1,0,58.91,1,0.0,19.52,1,0,50.0,0.2,4.6,99.6,4.6,100.0,0
85,27,1,0,0.54,0,1,46.06,1,0.0,27.16,1,100,50.0,8.2,4.2,83.6,4.2,72.71,0
95,25,2,0,1.08,0,1,44.3,1,0.0,16.16,1,100,34.24,3.0,4.3,94.0,4.3,47.48,1
90,171,2,0,0.37,0,0,34.89,1,0.0,18.01,1,0,35.35,0.1,1.3,99.8,1.3,30.95,0
85,150,2,1,0.27,0,1,62.99,0,0.0,20.64,1,100,50.0,1.1,17.4,97.8,17.4,100.0,0
100,12,1,0,0.3,1,1,49.69,1,0.0,16.24,1,100,53.38,2.2,3.7,95.6,3.7,39.61,1
75,39,1,0,0.5,1,0,43.48,0,0.0,26.13,1,100,44.63,4.6,3.1,90.8,3.1,100.0,0
75,26,2,0,0.5,1,0,38.98,0,0.0,25.36,1,100,48.91,8.9,4.1,82.2,4.1,59.1,0
95,14,2,1,0.62,0,0,40.3,0,0.0,21.77,1,0,34.55,5.4,7.3,89.2,7.3,100.0,1
95,9,2,1,0.67,1,0,49.69,0,0.0,13.44,1,100,46.86,3.0,4.9,94.0,4.9,100.0,1
75,7,2,1,1.02,0,1,59.51,1,0.0,30.27,1,0,34.44,1.0,1.3,98.0,1.3,100.0,1
100,7,1,0,0.66,1,1,67.52,0,0.0,35.64,1,100,44.53,3.3,8.4,93.4,8.4,50.0,0
95,199,2,1,0.29,1,1,62.81,0,0.0,38.81,1,0,37.62,0.5,17.5,99.0,17.5,50.0,0
95,29,2,0,0.87,0,1,46.97,0,0.0,17.5,1,100,50.64,0.3,4.8,99.4,4.8,50.0,1
95,29,2,1,0.76,0,0,53.21,0,0.0,10.87,1,100,42.28,2.4,12.4,95.2,12.4,53.84,0
85,7,0,1,0.81,0,0,44.96,0,0.0,14.26,1,100,50.0,0.5,2.9,99.0,2.9,81.35,1
90,12,2,0,0.73,0,1,63.28,0,0.0,15.28,1,0,30.86,1.7,6.5,96.6,6.5,48.97,0
80,20,2,1,0.4,1,1,55.85,0,0.0,17.78,1,0,33.24,2.9,6.4,94.2,6.4,41.21,1
90,17,0,1,0.53,0,0,50.22,0,0.0,22.96,1,100,45.24,2.8,7.5,94.4,7.5,58.41,0
95,15,1,1,1.12,0,0,45.84,0,0.0,22.28,1,0,26.78,2.6,8.9,94.8,8.9,100.0,0
95,21,1,1,1.06,1,0,52.87,1,0.0,25.4,1,0,27.32,1.4,2.9,97.2,2.9,58.19,0
80,9,1,0,0.35,1,0,55.24,1,0.0,24.26,1,100,41.04,2.0,5.1,96.0,5.1,100.0,0
95,14,1,0,1.17,0,1,56.13,1,0.0,15.35,1,0,24.64,0.6,6.9,98.8,6.9,50.0,0
90,162,2,0,0.56,0,0,25.03,1,0.0,31.65,1,100,44.68,0.2,4.2,99.6,4.2,100.0,0
70,12,2,0,0.98,0,0,37.75,0,0.0,40.93,1,0,28.65,2.2,1.9,95.6,1.9,35.93,0
95,12,1,1,0.59,0,0,46.15,0,0.0,17.89,1,0,36.05,0.4,5.2,99.2,5.2,50.0,0
90,8,0,1,0.53,0,0,43.54,0,0.0,13.4,1,100,49.6,0.4,2.3,99.2,2.3,50.0,0
90,30,2,1,1.3,0,0,56.68,1,0.0,15.4,1,100,50.0,2.4,9.6,95.2,9.6,100.0,0
65,24,2,0,0.44,0,0,51.73,0,0.0,40.56,1,100,50.0,2.1,12.7,95.8,12.7,50.95,1
75,6,2,0,0.99,0,0,36.7,0,0.0,24.77,1,100,49.28,0.8,0.1,98.4,0.1,100.0,1
95,37,2,1,0.37,0,0,41.09,0,0.0,25.34,1,100,51.53,1.3,10.5,97.4,10.5,50.0,0
75,66,1,0,0.17,1,0,34.46,0,0.0,25.87,1,100,50.0,8.8,8.7,82.4,8.7,31.97,0
85,14,2,1,1.13,0,0,36.41,0,0.0,30.43,1,0,50.0,2.9,7.2,94.2,7.2,36.67,0
100,14,2,0,0.48,1,1,51.89,1,0.0,7.77,1,100,31.39,0.5,2.9,99.0,2.9,54.96,0
95,52,1,1,0.69,0,0,57.1,0,0.0,16.46,1,100,53.68,2.2,16.8,95.6,16.8,100.0,0
95,125,2,1,0.62,1,1,68.42,0,0.0,38.68,1,100,50.71,3.0,7.3,94.0,7.3,100.0,0
70,9,2,1,2.35,0,0,37.74,1,0.0,27.2,1,100,50.0,1.7,6.5,96.6,6.5,100.0,1
70,5,1,0,0.49,0,0,49.42,1,0.0,20.76,1,100,50.0,1.2,0.6,97.6,0.6,59.39,0
65,124,2,1,0.91,0,1,70.04,1,0.0,24.91,1,100,50.0,1.2,4.7,97.6,4.7,100.0,0
75,143,0,0,0.7,1,0,28.67,1,0.0,21.1,1,100,50.51,0.8,8.0,98.4,8.0,44.09,1
95,33,2,1,0.89,0,0,59.42,0,0.0,22.61,1,100,54.57,0.3,3.9,99.4,3.9,50.0,1
95,10,1,0,0.33,1,1,56.18,0,0.0,33.49,1,100,50.94,1.2,2.2,97.6,2.2,100.0,1
100,13,2,1,0.61,1,0,46.13,0,0.0,18.03,1,0,30.14,1.8,6.8,96.4,6.8,36.67,1
95,9,1,1,0.56,0,0,52.33,0,0.0,28.8,1,100,52.88,3.6,2.5,92.8,2.5,53.33,0
95,9,2,0,1.27,1,1,56.33,0,0.0,22.06,1,100,48.66,1.5,5.6,97.0,5.6,55.9,0
95,8,2,1,0.62,0,0,41.5,0,0.0,33.98,1,100,46.98,0.9,6.1,98.2,6.1,36.67,0
100,13,1,0,0.7,1,1,55.6,0,0.0,38.64,1,100,40.55,1.0,8.1,98.0,8.1,100.0,0
90,84,2,1,1.18,0,0,73.05,0,0.0,23.18,1,0,39.18,5.5,3.7,89.0,3.7,100.0,0
65,14,2,1,0.84,0,1,50.83,1,0.0,26.09,1,100,50.0,0.3,5.8,99.4,5.8,100.0,0
80,5,2,1,0.1,1,1,55.98,1,0.0,30.31,1,100,46.55,0.2,3.7,99.6,3.7,50.0,0
90,79,2,0,0.37,0,1,78.27,1,0.0,16.68,1,100,49.0,0.9,20.9,98.2,20.9,50.0,0
80,9,2,1,0.56,1,1,62.61,1,0.0,46.21,1,0,27.73,1.2,0.4,97.6,0.4,100.0,0
70,7,2,0,0.75,0,0,58.24,0,0.0,23.65,1,0,32.79,0.5,3.6,99.0,3.6,50.0,0
95,16,2,1,0.93,1,1,52.2,0,0.0,21.26,1,0,40.28,2.8,7.3,94.4,7.3,50.0,1
70,16,2,0,0.81,0,0,45.05,0,0.0,22.24,1,0,25.62,3.6,0.8,92.8,0.8,64.61,1
95,13,1,0,0.74,0,1,58.95,0,0.0,29.19,1,100,41.31,0.4,3.3,99.2,3.3,50.0,0
75,12,2,1,1.5,0,1,59.86,1,0.0,34.34,1,100,30.29,0.5,2.5,99.0,2.5,100.0,1
80,38,1,1,1.43,1,1,62.67,0,0.0,17.81,1,100,53.99,5.0,11.5,90.0,11.5,73.11,0
