Trade #,+ R (%),BE,Candle Close,Close,Day,Entry Type,Entry method,Entry model,Liquidity Distance,Loss,News,Open,Potential R,RSI,SL Pips,Session,Trade Score,Win,Zone Type
,,,,,,,,,,,No,,,,,,,,
1,3%,,Bullish,"June 12, 2025 23:35 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,1.4,,No,"June 12, 2025 22:40 (GMT+3)",3%,Between,6.4,New York,B,,Demand
2,-1%,,Bullish,"June 9, 2025 21:50 (GMT+3)",Monday,Default,Candle Close,S&D Retest,5.2,Loss,No,"June 9, 2025 16:35 (GMT+3)",2.5%,Between,9.3,"London, New York",B+,,Demand
3,-1%,,Bullish,"June 11, 2025 18:50 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,3.1,Loss,No,"June 11, 2025 18:35 (GMT+3)",2.5%,Between,9.3,New York,A,,Demand
4,-1%,,Beraish,"June 17, 2025 14:30 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,4.2,Loss,No,"June 17, 2025 13:00 (GMT+3)",3%,Between,5.7,London,B+,,Demand
5,-1%,,Beraish,"June 24, 2025 15:35 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,1,Loss,No,"June 24, 2025 15:10 (GMT+3)",2%,Between,9.9,London,B+,,Demand
6,-1%,,Bullish,"June 26, 2025 16:10 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,4,Loss,No,"June 26, 2025 15:45 (GMT+3)",4.5%,Between,4.5,"London, New York",A,,Supply
7,-1%,,Bullish,"July 7, 2025 10:20 (GMT+3)",Monday,Default,Candle Close,S&D Retest,2,Loss,No,"July 7, 2025 9:40 (GMT+3)",4.5%,Between,4.5,"London, Tokyo",A+,,Demand
8,-1%,,Beraish,"July 9, 2025 12:20 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,6.7,Loss,No,"July 9, 2025 10:50 (GMT+3)",2%,Between,12.3,"London, Tokyo",C+,,Demand
9,-1%,,Beraish,"July 9, 2025 15:20 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,3.2,Loss,No,"July 9, 2025 14:40 (GMT+3)",3%,Between,6.2,London,A,,Supply
10,3%,,Beraish,"July 10, 2025 18:45 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,3.9,,No,"July 10, 2025 18:05 (GMT+3)",3%,Between,6.8,New York,B,,Demand
11,4.5%,,Beraish,"July 10, 2025 21:00 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,1.2,,No,"July 10, 2025 20:50 (GMT+3)",4.5%,Between,2.5,New York,B+,,Demand
12,-1%,,Bullish,"July 14, 2025 17:40 (GMT+3)",Monday,Default,Candle Close,S&D Retest,3.6,Loss,No,"July 14, 2025 15:30 (GMT+3)",2.5%,Between,9,"London, New York",B+,,Demand
13,2.5%,,Beraish,"July 16, 2025 9:00 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,2,,No,"July 16, 2025 8:25 (GMT+3)",2.5%,Between,10.2,Tokyo,B,,Demand
14,-1%,,Bullish,"July 29, 2025 11:50 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,4.3,Loss,No,"July 29, 2025 10:20 (GMT+3)",3%,Between,6.8,"London, Tokyo",B+,,Supply
