Trade #,Day,Session,Entry model,Entry method,Liquidity Distance,+ R (%),Potential R,Win,Loss,BE,RSI,Candle Close,News,Entry Type,Trade Score,Close,Open,SL Pips,Zone Type
1,Monday,"London, New York",S&D Retest,Candle Close,76,1.5%,1.5%,,,,Between,Beraish,No,Default,B+,"June 9, 2025 16:45 (GMT+3)","June 9, 2025 16:25 (GMT+3)",323,Demand
2,Monday,New York,S&D Retest,Candle Close,35,1.5%,1.5%,,,,Between,Beraish,No,Default,B,"June 9, 2025 18:15 (GMT+3)","June 9, 2025 17:40 (GMT+3)",329,Demand
3,Tuesday,London,S&D Retest,Candle Close,35,1.5%,1.5%,,,,Between,Beraish,No,Default,A,"June 10, 2025 12:15 (GMT+3)","June 10, 2025 11:45 (GMT+3)",154,Demand
4,Tuesday,New York,S&D Retest,Candle Close,100,1.5%,1.5%,,,,Between,Beraish,No,Default,A+,"June 10, 2025 21:20 (GMT+3)","June 10, 2025 20:55 (GMT+3)",131,Supply
5,Friday,London,S&D Retest,Candle Close,25,2.5%,2.5%,,,,Between,Beraish,No,Default,B+,"June 13, 2025 12:10 (GMT+3)","June 13, 2025 12:05 (GMT+3)",140,Supply
6,Tuesday,"London, New York",S&D Retest,Candle Close,5,1.5%,1.5%,,,,Between,Bullish,No,Default,A,"June 17, 2025 16:45 (GMT+3)","June 17, 2025 16:35 (GMT+3)",295,Supply
7,Wednesday,New York,S&D Retest,Candle Close,25,-1%,2.5%,,Loss,,Between,Beraish,No,Default,B,"June 18, 2025 20:50 (GMT+3)","June 18, 2025 20:45 (GMT+3)",123,Demand
8,Monday,London,S&D Retest,Candle Close,146,1.5%,1.5%,,,,Between,Beraish,No,Default,B+,"June 23, 2025 15:50 (GMT+3)","June 23, 2025 15:35 (GMT+3)",326,Demand
9,Monday,New York,S&D Retest,Candle Close,179,-1%,1.5%,,Loss,,Between,Beraish,No,Default,B+,"June 23, 2025 20:20 (GMT+3)","June 23, 2025 19:50 (GMT+3)",677,Demand
10,Friday,London,S&D Retest,Candle Close,101,2%,2%,,,,Between,Bullish,No,Default,B+,"June 27, 2025 12:10 (GMT+3)","June 27, 2025 11:55 (GMT+3)",166,Supply
11,Friday,London,S&D Retest,Candle Close,47,1.5%,1.5%,,,,Between,Beraish,No,Default,B,"June 27, 2025 17:55 (GMT+3)","June 27, 2025 17:50 (GMT+3)",249,Demand
12,Monday,London,S&D Retest,Candle Close,108,3%,3%,,,,Between,Beraish,No,Default,B+,"June 30, 2025 13:35 (GMT+3)","June 30, 2025 13:00 (GMT+3)",111,Supply
13,Monday,London,S&D Retest,Candle Close,144,2.5%,2.5%,,,,Between,Beraish,No,Default,B+,"June 30, 2025 14:35 (GMT+3)","June 30, 2025 14:25 (GMT+3)",137,Demand
14,Tuesday,London,S&D Retest,Candle Close,112,5%,5%,,,,Between,Bullish,No,Default,B+,"July 8, 2025 10:10 (GMT+3)","July 8, 2025 10:10 (GMT+3)",163,Supply
15,Friday,"London, Tokyo",S&D Retest,Candle Close,80,2%,2%,,,,Between,Bullish,No,Default,A+,"July 11, 2025 10:35 (GMT+3)","July 11, 2025 10:00 (GMT+3)",180,Demand
16,Tuesday,"Sydney, Tokyo",S&D Retest,Candle Close,63,-1%,2%,,Loss,,Between,Beraish,No,Default,A+,"July 15, 2025 9:55 (GMT+3)","July 15, 2025 9:30 (GMT+3)",156,Demand
17,Tuesday,"London, Tokyo",S&D Retest,Candle Close,61,3%,3%,,,,Between,Beraish,No,Default,A,"July 15, 2025 11:35 (GMT+3)","July 15, 2025 11:25 (GMT+3)",135,Demand
18,Tuesday,"Sydney, Tokyo",S&D Retest,Candle Close,405,-1%,2%,,Loss,,Between,Beraish,No,Default,B+,"July 15, 2025 9:00 (GMT+3)","July 14, 2025 8:50 (GMT+3)",2260,Demand
19,Wednesday,"London, New York",S&D Retest,Candle Close,10,1%,1.5%,,,,Between,Beraish,No,BOC,A,"October 15, 2025 17:35 (GMT+3)","October 15, 2025 12:25 (GMT+3)",2877,Demand
20,Wednesday,London,S&D Retest,Candle Close,109,1.5%,1.5%,,,,Between,Bullish,No,BOC,B+,"October 22, 2025 13:35 (GMT+3)","October 22, 2025 13:30 (GMT+3)",794,Supply
21,Friday,"London, New York",S&D Retest,Candle Close,327,1.5%,1.5%,,,,Between,Bullish,No,Default,B+,"October 24, 2025 16:40 (GMT+3)","October 24, 2025 16:20 (GMT+3)",702,Supply
,,,,,,,,,,,,,No,,,,,,
