Trade #,+ R (%),BE,Candle Close,Close,Day,Entry Type,Entry method,Entry model,Liquidity Distance,Loss,News,Open,Potential R,RSI,SL Pips,Session,Trade Score,Win,Zone Type
,,,,,,,,,,,No,,,,,,,,
1,1.5%,,Beraish,"June 9, 2025 16:45 (GMT+3)",Monday,Default,Candle Close,S&D Retest,76,,No,"June 9, 2025 16:25 (GMT+3)",1.5%,Between,323,"London, New York",B+,,Demand
2,1.5%,,Beraish,"June 9, 2025 18:15 (GMT+3)",Monday,Default,Candle Close,S&D Retest,35,,No,"June 9, 2025 17:40 (GMT+3)",1.5%,Between,329,New York,B,,Demand
3,1.5%,,Beraish,"June 10, 2025 12:15 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,35,,No,"June 10, 2025 11:45 (GMT+3)",1.5%,Between,154,London,A,,Demand
4,1.5%,,Beraish,"June 10, 2025 21:20 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,100,,No,"June 10, 2025 20:55 (GMT+3)",1.5%,Between,131,New York,A+,,Supply
5,2.5%,,Beraish,"June 13, 2025 12:10 (GMT+3)",Friday,Default,Candle Close,S&D Retest,25,,No,"June 13, 2025 12:05 (GMT+3)",2.5%,Between,140,London,B+,,Supply
6,1.5%,,Bullish,"June 17, 2025 16:45 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,5,,No,"June 17, 2025 16:35 (GMT+3)",1.5%,Between,295,"London, New York",A,,Supply
7,-1%,,Beraish,"June 18, 2025 20:50 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,25,Loss,No,"June 18, 2025 20:45 (GMT+3)",2.5%,Between,123,New York,B,,Demand
8,1.5%,,Beraish,"June 23, 2025 15:50 (GMT+3)",Monday,Default,Candle Close,S&D Retest,146,,No,"June 23, 2025 15:35 (GMT+3)",1.5%,Between,326,London,B+,,Demand
9,-1%,,Beraish,"June 23, 2025 20:20 (GMT+3)",Monday,Default,Candle Close,S&D Retest,179,Loss,No,"June 23, 2025 19:50 (GMT+3)",1.5%,Between,677,New York,B+,,Demand
10,2%,,Bullish,"June 27, 2025 12:10 (GMT+3)",Friday,Default,Candle Close,S&D Retest,101,,No,"June 27, 2025 11:55 (GMT+3)",2%,Between,166,London,B+,,Supply
11,1.5%,,Beraish,"June 27, 2025 17:55 (GMT+3)",Friday,Default,Candle Close,S&D Retest,47,,No,"June 27, 2025 17:50 (GMT+3)",1.5%,Between,249,London,B,,Demand
12,3%,,Beraish,"June 30, 2025 13:35 (GMT+3)",Monday,Default,Candle Close,S&D Retest,108,,No,"June 30, 2025 13:00 (GMT+3)",3%,Between,111,London,B+,,Supply
13,2.5%,,Beraish,"June 30, 2025 14:35 (GMT+3)",Monday,Default,Candle Close,S&D Retest,144,,No,"June 30, 2025 14:25 (GMT+3)",2.5%,Between,137,London,B+,,Demand
14,5%,,Bullish,"July 8, 2025 10:10 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,112,,No,"July 8, 2025 10:10 (GMT+3)",5%,Between,163,London,B+,,Supply
15,2%,,Bullish,"July 11, 2025 10:35 (GMT+3)",Friday,Default,Candle Close,S&D Retest,80,,No,"July 11, 2025 10:00 (GMT+3)",2%,Between,180,"London, Tokyo",A+,,Demand
16,-1%,,Beraish,"July 15, 2025 9:55 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,63,Loss,No,"July 15, 2025 9:30 (GMT+3)",2%,Between,156,"Sydney, Tokyo",A+,,Demand
17,3%,,Beraish,"July 15, 2025 11:35 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,61,,No,"July 15, 2025 11:25 (GMT+3)",3%,Between,135,"London, Tokyo",A,,Demand
18,-1%,,Beraish,"July 15, 2025 9:00 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,405,Loss,No,"July 14, 2025 8:50 (GMT+3)",2%,Between,2260,"Sydney, Tokyo",B+,,Demand
19,1%,,Beraish,"October 15, 2025 17:35 (GMT+3)",Wednesday,BOC,Candle Close,S&D Retest,10,,No,"October 15, 2025 12:25 (GMT+3)",1.5%,Between,2877,"London, New York",A,,Demand
20,1.5%,,Bullish,"October 22, 2025 13:35 (GMT+3)",Wednesday,BOC,Candle Close,S&D Retest,109,,No,"October 22, 2025 13:30 (GMT+3)",1.5%,Between,794,London,B+,,Supply
21,1.5%,,Bullish,"October 24, 2025 16:40 (GMT+3)",Friday,Default,Candle Close,S&D Retest,327,,No,"October 24, 2025 16:20 (GMT+3)",1.5%,Between,702,"London, New York",B+,,Supply
