Trade #,Day,Session,Entry model,Entry method,Liquidity Distance,+ R (%),Potential R,Win,Loss,BE,RSI,Candle Close,News,Entry Type,Trade Score,Close,Leg-out Strength,Open,SL Pips,Time at Base,Zone Formation,Zone Type
1,Thursday,London,S&D Retest,Candle Close,5.4,-1%,2.5%,,Loss,,Between,Beraish,No,Default,B,"January 5, 2023 10:00 (GMT+2)",Strongest,"January 5, 2023 9:50 (GMT+2)",10.7,Strongest,Drop Base Rally,Demand
2,Thursday,"London, New York",S&D Retest,Candle Close,0.9,-1%,2%,,Loss,,Between,Beraish,No,Default,B+,"January 5, 2023 17:50 (GMT+2)",Strongest,"January 5, 2023 16:10 (GMT+2)",13.4,Strong,Drop Base Rally,Demand
3,Friday,"London, Sydney, Tokyo",S&D Retest,Candle Close,1.6,-1%,2%,,Loss,,Between,Beraish,No,Default,B+,"January 6, 2023 12:00 (GMT+2)",Strongest,"January 6, 2023 9:20 (GMT+2)",25.2,Weak,Rally Base Drop,Demand
4,Friday,London,S&D Retest,Candle Close,3.6,-1%,2.5%,,Loss,,Between,Bullish,No,Default,B,"January 6, 2023 13:40 (GMT+2)",Strongest,"January 6, 2023 12:55 (GMT+2)",9,Strongest,Drop Base Drop,Supply
5,Wednesday,"London, Sydney, Tokyo",S&D Retest,Candle Close,1.4,4.5%,4.5%,,,,Between,Bullish,No,Default,B+,"January 11, 2023 9:30 (GMT+2)",Strongest,"January 11, 2023 9:10 (GMT+2)",3.3,Strongest,Drop Base Rally,Demand
6,Wednesday,"London, New York",S&D Retest,Candle Close,1.4,4.5%,4.5%,,,,Between,Bullish,No,Default,B+,"January 11, 2023 17:35 (GMT+2)",Strongest,"January 11, 2023 17:00 (GMT+2)",11.6,Weak,Rally Base Drop,Supply
7,Friday,"London, Sydney",S&D Retest,Candle Close,1.1,2%,2%,,,,Between,Bullish,No,BOC,A,"January 13, 2023 14:55 (GMT+2)",Strong,"January 13, 2023 11:30 (GMT+2)",29.9,Strongest,Drop Base Drop,Supply
8,Wednesday,"London, Sydney",S&D Retest,Candle Close,9.4,2%,2%,,,,Between,Bullish,No,Default,A,"January 18, 2023 14:55 (GMT+2)",Strongest,"January 18, 2023 8:15 (GMT+2)",16.6,Strong,Rally Base Rally,Demand
9,Thursday,"London, Sydney",S&D Retest,Candle Close,2.3,-1%,2%,,Loss,,Between,Bullish,No,Default,B,"January 19, 2023 17:30 (GMT+2)",Strongest,"January 19, 2023 15:45 (GMT+2)",18.1,Strongest,Rally Base Drop,Supply
10,Thursday,London,S&D Retest,Candle Close,3.2,-1%,2%,,Loss,,Between,Beraish,No,Default,A,"January 26, 2023 13:40 (GMT+2)",Strongest,"January 26, 2023 12:05 (GMT+2)",14.9,Strongest,Rally Base Drop,Supply
11,Friday,"Sydney, Tokyo",S&D Retest,Candle Close,2.2,-1%,2%,,Loss,,Between,Beraish,No,Default,A+,"January 27, 2023 8:35 (GMT+2)",Strong,"January 27, 2023 8:30 (GMT+2)",7.2,Strong,Drop Base Drop,Supply
12,Tuesday,"Sydney, Tokyo",S&D Retest,Candle Close,6.4,3%,3%,,,,Between,Bullish,No,Default,A,"January 31, 2023 9:55 (GMT+2)",Strongest,"January 31, 2023 9:10 (GMT+2)",4.6,Strong,Drop Base Drop,Supply
13,Tuesday,London,S&D Retest,Candle Close,1.9,2%,2%,,,,Between,Bullish,No,Default,A,"January 31, 2023 14:55 (GMT+2)",Strongest,"January 31, 2023 14:05 (GMT+2)",11.5,Strong,Drop Base Drop,Supply
