Trade #,+ R (%),BE,Candle Close,Close,Day,Entry Type,Entry method,Entry model,Leg-out Strength,Liquidity Distance,Loss,News,Open,Potential R,RSI,SL Pips,Session,Time at Base,Trade Score,Win,Zone Formation,Zone Type
1,-1%,,Beraish,"January 5, 2023 10:00 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,Strongest,5.4,Loss,No,"January 5, 2023 9:50 (GMT+2)",2.5%,Between,10.7,London,Strongest,B,,Drop Base Rally,Demand
2,-1%,,Beraish,"January 5, 2023 17:50 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,Strongest,0.9,Loss,No,"January 5, 2023 16:10 (GMT+2)",2%,Between,13.4,"London, New York",Strong,B+,,Drop Base Rally,Demand
3,-1%,,Beraish,"January 6, 2023 12:00 (GMT+2)",Friday,Default,Candle Close,S&D Retest,Strongest,1.6,Loss,No,"January 6, 2023 9:20 (GMT+2)",2%,Between,25.2,"London, Sydney, Tokyo",Weak,B+,,Rally Base Drop,Demand
4,-1%,,Bullish,"January 6, 2023 13:40 (GMT+2)",Friday,Default,Candle Close,S&D Retest,Strongest,3.6,Loss,No,"January 6, 2023 12:55 (GMT+2)",2.5%,Between,9,London,Strongest,B,,Drop Base Drop,Supply
5,4.5%,,Bullish,"January 11, 2023 9:30 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,Strongest,1.4,,No,"January 11, 2023 9:10 (GMT+2)",4.5%,Between,3.3,"London, Sydney, Tokyo",Strongest,B+,,Drop Base Rally,Demand
6,4.5%,,Bullish,"January 11, 2023 17:35 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,Strongest,1.4,,No,"January 11, 2023 17:00 (GMT+2)",4.5%,Between,11.6,"London, New York",Weak,B+,,Rally Base Drop,Supply
7,2%,,Bullish,"January 13, 2023 14:55 (GMT+2)",Friday,BOC,Candle Close,S&D Retest,Strong,1.1,,No,"January 13, 2023 11:30 (GMT+2)",2%,Between,29.9,"London, Sydney",Strongest,A,,Drop Base Drop,Supply
8,2%,,Bullish,"January 18, 2023 14:55 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,Strongest,9.4,,No,"January 18, 2023 8:15 (GMT+2)",2%,Between,16.6,"London, Sydney",Strong,A,,Rally Base Rally,Demand
9,-1%,,Bullish,"January 19, 2023 17:30 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,Strongest,2.3,Loss,No,"January 19, 2023 15:45 (GMT+2)",2%,Between,18.1,"London, Sydney",Strongest,B,,Rally Base Drop,Supply
10,-1%,,Beraish,"January 26, 2023 13:40 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,Strongest,3.2,Loss,No,"January 26, 2023 12:05 (GMT+2)",2%,Between,14.9,London,Strongest,A,,Rally Base Drop,Supply
11,-1%,,Beraish,"January 27, 2023 8:35 (GMT+2)",Friday,Default,Candle Close,S&D Retest,Strong,2.2,Loss,No,"January 27, 2023 8:30 (GMT+2)",2%,Between,7.2,"Sydney, Tokyo",Strong,A+,,Drop Base Drop,Supply
12,3%,,Bullish,"January 31, 2023 9:55 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,Strongest,6.4,,No,"January 31, 2023 9:10 (GMT+2)",3%,Between,4.6,"Sydney, Tokyo",Strong,A,,Drop Base Drop,Supply
13,2%,,Bullish,"January 31, 2023 14:55 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,Strongest,1.9,,No,"January 31, 2023 14:05 (GMT+2)",2%,Between,11.5,London,Strong,A,,Drop Base Drop,Supply
14,-1%,,Bullish,"February 8, 2023 9:50 (GMT+2)",Wednesday,BOC,Candle Close,S&D Retest,Strong,2.2,Loss,No,"February 8, 2023 9:40 (GMT+2)",3%,Between,7,"Sydney, Tokyo",Weak,B,,Rally Base Drop,Supply
15,-1%,,Bullish,"February 8, 2023 11:15 (GMT+2)",Wednesday,BOC,Candle Close,S&D Retest,Strong,0.8,Loss,No,"February 8, 2023 10:55 (GMT+2)",3%,Between,6.3,London,Weak,A,,Rally Base Rally,Demand
16,-1%,,Beraish,"February 9, 2023 15:50 (GMT+2)",Wednesday,BOC,Candle Close,S&D Retest,Strongest,1,Loss,No,"February 9, 2023 14:30 (GMT+2)",2.5%,Between,8.6,"London, New York",Weak,B+,,Rally Base Rally,Demand
17,2%,,Bullish,"February 9, 2023 21:05 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,Strongest,6.7,,No,"February 9, 2023 18:55 (GMT+2)",2%,Between,12,New York,Strong,A+,,Rally Base Rally,Demand
18,2.5%,,Bullish,"February 13, 2023 22:05 (GMT+2)",Monday,BOC,Candle Close,S&D Retest,Strongest,5.5,,No,"February 13, 2023 21:00 (GMT+2)",2.5%,Between,8.8,New York,Strongest,B+,,Drop Base Drop,Supply
19,-1%,,Bullish,"February 14, 2023 14:45 (GMT+2)",Tuesday,Flip,Candle Close,S&D Retest,Strongest,2.7,Loss,No,"February 14, 2023 14:15 (GMT+2)",2.5%,Between,7.6,"London, New York",Weak,A+,,Rally Base Rally,Demand
20,-1%,,Beraish,"February 15, 2023 18:40 (GMT+2)",Wednesday,Flip,Candle Close,S&D Retest,Strong,6.4,Loss,No,"February 15, 2023 18:10 (GMT+2)",2%,Between,10.8,New York,Weak,A+,,Rally Base Drop,Supply
21,4.5%,,Beraish,"February 15, 2023 8:25 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,Strongest,1.3,,No,"March 1, 2023 7:50 (GMT+2)",4.5%,Between,3,"Sydney, Tokyo",Strong,B,,Drop Base Rally,Demand
22,-1%,,Beraish,"March 2, 2023 19:30 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,Strongest,10.6,Loss,No,"March 2, 2023 18:00 (GMT+2)",3%,Between,7.6,New York,Weak,A+,,Drop Base Rally,Supply
23,-1%,,Bullish,"March 6, 2023 17:50 (GMT+2)",Monday,Default,Candle Close,S&D Retest,Strong,3.2,Loss,No,"March 6, 2023 17:05 (GMT+2)",2.5%,Between,8.3,New York,Weak,B+,,Drop Base Drop,Supply
24,3%,,Bullish,"March 7, 2023 9:45 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,Strongest,3.2,,No,"March 7, 2023 9:15 (GMT+2)",3%,Between,8.3,New York,Strongest,B,,Rally Base Drop,Supply
25,2%,,Beraish,"March 9, 2023 16:00 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,Strongest,3.5,,No,"March 9, 2023 15:40 (GMT+2)",2%,Between,12.5,"London, New York",Strong,B,,Rally Base Rally,Demand
26,3%,,Beraish,"March 17, 2023 8:15 (GMT+2)",Friday,Default,Candle Close,S&D Retest,Strong,3.7,,No,"March 17, 2023 8:00 (GMT+2)",3%,Between,7.7,"Sydney, Tokyo",Strong,B,,Rally Base Drop,Supply
27,2%,,Beraish,"March 21, 2023 20:35 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,Strong,6.2,,No,"March 21, 2023 16:35 (GMT+2)",2%,Between,25.3,"London, New York",Strongest,C+,,Rally Base Rally,Demand
28,-1%,,Bullish,"March 22, 2023 16:15 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,Strong,8,Loss,No,"March 22, 2023 15:45 (GMT+2)",2.5%,Between,9.9,"London, New York",Strong,A,,Rally Base Rally,Demand
29,-1%,,Bullish,"March 23, 2023 19:25 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,Strongest,7.2,Loss,No,"March 23, 2023 18:50 (GMT+2)",2%,Between,12.2,New York,Strong,A,,Rally Base Rally,Demand
30,3%,,Beraish,"March 24, 2023 9:30 (GMT+3)",Friday,Flip,Candle Close,S&D Retest,Strongest,3.3,,No,"March 24, 2023 9:15 (GMT+3)",3%,Between,4.9,"Sydney, Tokyo",Weak,A+,,Drop Base Drop,Supply
31,3%,,Bullish,"March 29, 2023 10:00 (GMT+3)",Wednesday,Flip,Candle Close,S&D Retest,Strongest,4,,No,"March 29, 2023 9:30 (GMT+3)",3%,Between,8,"London, Tokyo",Weak,A,,Rally Base Rally,Demand
32,-1%,,Bullish,"March 31, 2023 8:30 (GMT+3)",Friday,Flip,Candle Close,S&D Retest,Strongest,1.5,Loss,No,"March 31, 2023 8:20 (GMT+3)",2.5%,Between,10.2,Sydney,Weak,B,,Rally Base Drop,Demand
33,-1%,,Beraish,"March 31, 2023 14:55 (GMT+3)",Friday,Flip,Candle Close,S&D Retest,Strong,3,Loss,No,"March 31, 2023 14:30 (GMT+3)",2.5%,Between,7.1,London,Weak,B+,,Drop Base Rally,Demand
34,2.5%,,Bullish,"April 3, 2023 15:20 (GMT+3)",Monday,Default,Candle Close,S&D Retest,Strong,6.3,,No,"April 3, 2023 14:35 (GMT+3)",2.5%,Between,10.3,"London, New York",Strongest,A+,,Drop Base Rally,Demand
35,3%,,Bullish,"April 10, 2023 2:00 (GMT+3)",Monday,Default,Candle Close,S&D Retest,Strongest,7.8,,No,"April 10, 2023 19:00 (GMT+3)",3%,Between,6,"New York, Tokyo",Strongest,A,,Rally Base Rally,Demand
36,2%,,Beraish,"April 11, 2023 11:40 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,Strongest,3.9,,No,"April 11, 2023 10:45 (GMT+3)",2%,Between,12,London,Weak,B,,Drop Base Rally,Demand
