pair_xauusd,pair_gbpjpy,pair_usdjpy,pair_gbpcad,pair_chfjpy,pair_nas100,entry_default,entry_flip,entry_boc,trade_score_numeric,session_london,session_newyork,session_tokyo,session_sydney,rsi,news_event,zone_supply,liquidity_distance,sl_pips,potential_rr,close_bullish,win,source,pair_eurusd
1,0,0,0,0,0,0,1,0,4.0,1,0,0,0,50.0,0,0,66.0,95.0,3.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,0,0,1,1,50.0,0,0,54.0,30.0,3.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,34.0,168.0,2.0,1,0,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,1,0,0,50.0,0,1,28.0,140.0,2.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,1,0,0,50.0,0,0,42.0,181.0,2.0,1,1,notion,0
1,0,0,0,0,0,0,0,1,4.0,0,1,0,0,50.0,0,0,72.0,54.0,4.5,0,1,notion,0
1,0,0,0,0,0,0,0,1,4.0,0,1,0,1,50.0,0,1,155.0,54.0,4.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,50.0,0,1,20.0,98.0,3.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,4.0,147.0,2.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,1,7.0,112.0,3.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,6.0,184.0,2.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,6.0,66.0,4.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,1,0,0,50.0,0,1,43.0,172.0,2.0,1,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,1,60.0,137.0,2.5,0,1,notion,0
1,0,0,0,0,0,0,1,0,4.0,1,1,0,0,50.0,0,0,29.0,86.0,4.5,0,1,notion,0
