Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-04 12:25,Short Exit,1858.25,38,70721.42,107.92,0.15,107.92,0.15,-34.58,-0.05,107.92,0.00
1,Entry short,2023-01-04 11:30," | F:55,13,1,1,1.08,0,1,63.36,0,0.75",1861.09,38,70721.42,107.92,0.15,107.92,0.15,-34.58,-0.05,107.92,0.00
2,Exit short,2023-01-04 15:35,Short Exit,1861.96,21,39055.8,-45.36,-0.12,27.3,0.07,-45.36,-0.12,62.56,0.00
2,Entry short,2023-01-04 15:30," | F:50,27,2,1,0.79,0,1,62.79,0,1.88",1859.8,21,39055.8,-45.36,-0.12,27.3,0.07,-45.36,-0.12,62.56,0.00
3,Exit short,2023-01-05 18:30,Short Exit,1831.79,27,49412.97,-45.36,-0.09,35.91,0.07,-45.36,-0.09,17.2,0.00
3,Entry short,2023-01-05 18:15," | F:75,14,2,1,2.08,0,0,43.23,0,0.69",1830.11,27,49412.97,-45.36,-0.09,35.91,0.07,-45.36,-0.09,17.2,0.00
4,Exit long,2023-01-06 13:25,Long Exit,1839.63,23,42207.53,103.96,0.25,103.96,0.25,-27.83,-0.07,121.16,0.00
4,Entry long,2023-01-06 11:20," | F:50,95,1,0,0.94,0,0,33.42,0,1.5",1835.11,23,42207.53,103.96,0.25,103.96,0.25,-27.83,-0.07,121.16,0.00
5,Exit short,2023-01-06 20:25,Short Exit,1863.41,88,163947.52,-32.56,-0.02,30.8,0.02,-32.56,-0.02,88.6,0.00
5,Entry short,2023-01-06 20:15," | F:50,15,2,1,1.01,0,1,60.02,0,0.73",1863.04,88,163947.52,-32.56,-0.02,30.8,0.02,-32.56,-0.02,88.6,0.00
6,Exit long,2023-01-09 11:30,Long Exit,1871.25,31,58052.77,-44.02,-0.08,20.15,0.03,-44.02,-0.08,44.58,0.00
6,Entry long,2023-01-09 11:15," | F:70,93,1,0,0.97,0,1,37.25,0,0.86",1872.67,31,58052.77,-44.02,-0.08,20.15,0.03,-44.02,-0.08,44.58,0.00
7,Exit short,2023-01-10 08:20,Short Exit,1872.72,83,155601.76,166,0.11,166,0.11,-7.47,0.00,210.58,0.00
7,Entry short,2023-01-10 07:45," | F:45,42,0,1,0.71,0,1,67.31,0,1.24",1874.72,83,155601.76,166,0.11,166,0.11,-7.47,0.00,210.58,0.00
8,Exit short,2023-01-11 10:00,Short Exit,1881.02,66,124285.92,138.6,0.11,138.6,0.11,-8.58,-0.01,349.18,0.00
8,Entry short,2023-01-11 09:30," | F:45,22,1,1,0.78,0,1,58.52,0,1.06",1883.12,66,124285.92,138.6,0.11,138.6,0.11,-8.58,-0.01,349.18,0.00
9,Exit short,2023-01-12 10:05,Short Exit,1883.23,37,69637.33,-42.18,-0.06,5.55,0.01,-42.18,-0.06,307,0.00
9,Entry short,2023-01-12 10:00," | F:55,11,1,1,1.01,0,1,48.28,0,1.84",1882.09,37,69637.33,-42.18,-0.06,5.55,0.01,-42.18,-0.06,307,0.00
10,Exit long,2023-01-16 15:35,Long Exit,1913.87,68,130003.76,139.4,0.11,139.4,0.11,-18.36,-0.01,446.4,0.00
10,Entry long,2023-01-16 15:25," | F:55,55,2,0,0.58,0,0,30.91,1,1.08",1911.82,68,130003.76,139.4,0.11,139.4,0.11,-18.36,-0.01,446.4,0.00
11,Exit short,2023-01-17 04:20,Short Exit,1913.15,57,109185.21,135.66,0.12,135.66,0.12,0,0.00,582.06,0.01
11,Entry short,2023-01-17 04:10," | F:65,9,0,1,0.66,0,0,49.05,1,0.91",1915.53,57,109185.21,135.66,0.12,135.66,0.12,0,0.00,582.06,0.01
