Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-13 19:40,Short Exit,1.08254,131579,142415.8464,-23.68,-0.02,30.26,0.02,-23.68,-0.02,-23.68,0.00
1,Entry short,2023-01-13 19:30," | F:75,18,2,1,1.32,0,0,58.56,1,0,14.52",1.08236,131579,142415.8464,-23.68,-0.02,30.26,0.02,-23.68,-0.02,-23.68,0.00
2,Exit long,2023-01-17 17:35,Long Exit,1.08112,57471,62171.55309,-38.51,-0.06,55.17,0.09,-38.51,-0.06,-62.19,0.00
2,Entry long,2023-01-17 17:20," | F:75,57,2,0,0.34,0,0,32.94,1,0,38.03",1.08179,57471,62171.55309,-38.51,-0.06,55.17,0.09,-38.51,-0.06,-62.19,0.00
3,Exit long,2023-01-19 18:55,Long Exit,1.08084,70423,75976.55778,139.44,0.18,139.44,0.18,-32.39,-0.04,77.25,0.00
3,Entry long,2023-01-19 17:45," | F:45,161,2,0,0.25,0,0,31.78,1,0,24.41",1.07886,70423,75976.55778,139.44,0.18,139.44,0.18,-32.39,-0.04,77.25,0.00
4,Exit long,2023-01-20 20:15,Long Exit,1.0837,36496,39593.41552,-42.7,-0.11,5.47,0.01,-42.7,-0.11,34.55,0.00
4,Entry long,2023-01-20 20:00," | F:70,11,2,0,0.58,0,1,63.34,1,0,20.23",1.08487,36496,39593.41552,-42.7,-0.11,5.47,0.01,-42.7,-0.11,34.55,0.00
5,Exit long,2023-01-23 10:20,Long Exit,1.08999,72464,79020.54272,-35.51,-0.04,1.45,0.00,-35.51,-0.04,-0.96,0.00
5,Entry long,2023-01-23 10:15," | F:75,7,1,0,0.73,0,1,52.89,1,0,29.83",1.09048,72464,79020.54272,-35.51,-0.04,1.45,0.00,-35.51,-0.04,-0.96,0.00
6,Exit long,2023-01-26 16:45,Long Exit,1.08897,33557,36585.85482,-43.29,-0.12,50,0.14,-43.29,-0.12,-44.25,0.00
6,Entry long,2023-01-26 16:10," | F:70,6,2,0,1.44,0,0,54.69,1,0,15.49",1.09026,33557,36585.85482,-43.29,-0.12,50,0.14,-43.29,-0.12,-44.25,0.00
7,Exit long,2023-01-30 15:30,Long Exit,1.08928,66667,72655.69661,-36.67,-0.05,86,0.12,-36.67,-0.05,-80.92,0.00
7,Entry long,2023-01-30 14:40," | F:65,10,2,0,0.88,0,1,50.71,1,0,18.15",1.08983,66667,72655.69661,-36.67,-0.05,86,0.12,-36.67,-0.05,-80.92,0.00
8,Exit short,2023-02-08 22:15,Short Exit,1.07138,96154,103186.7036,169.23,0.16,169.23,0.16,-16.35,-0.02,88.32,0.00
8,Entry short,2023-02-08 21:00," | F:70,10,2,1,0.74,0,0,51.76,0,0,15",1.07314,96154,103186.7036,169.23,0.16,169.23,0.16,-16.35,-0.02,88.32,0.00
9,Exit long,2023-03-01 17:45,Long Exit,1.06753,55556,59171.58448,136.11,0.23,136.11,0.23,-37.78,-0.06,224.43,0.00
9,Entry long,2023-03-01 17:10," | F:75,61,2,0,0.63,0,1,35.54,1,0,24.65",1.06508,55556,59171.58448,136.11,0.23,136.11,0.23,-37.78,-0.06,224.43,0.00
10,Exit long,2023-03-13 17:45,Long Exit,1.07121,59524,63800.7994,-38.1,-0.06,0,0.00,-38.1,-0.06,186.33,0.00
