Trade #,Type,Date and time,Signal,Price CAD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-04 16:55,Long Exit,1.63306,36765,59932.0971,78.53,0.18,78.53,0.18,0,0.00,78.53,0.00
1,Entry long,2023-01-04 16:45," | F:60,9,2,0,0.76,1,0,45.4,0,0,16.06",1.63014,36765,59932.0971,78.53,0.18,78.53,0.18,0,0.00,78.53,0.00
2,Exit long,2023-01-13 21:55,Long Exit,1.63717,106383,174195.7795,-21.47,-0.02,14.32,0.01,-21.47,-0.02,57.06,0.00
2,Entry long,2023-01-13 21:45," | F:70,12,2,0,0.52,0,1,55.32,1,0,26.9",1.63744,106383,174195.7795,-21.47,-0.02,14.32,0.01,-21.47,-0.02,57.06,0.00
3,Exit long,2023-01-19 16:30,Long Exit,1.66248,48077,79967.43564,-29.92,-0.05,19.59,0.03,-29.92,-0.05,27.14,0.00
3,Entry long,2023-01-19 16:15," | F:70,231,2,0,1.02,0,0,37.43,1,0,19.68",1.66332,48077,79967.43564,-29.92,-0.05,19.59,0.03,-29.92,-0.05,27.14,0.00
4,Exit long,2023-01-25 15:50,Long Exit,1.64609,52632,86676.48288,-29.53,-0.05,16.54,0.03,-29.53,-0.05,-2.39,0.00
4,Entry long,2023-01-25 15:35," | F:70,15,2,0,1.08,0,0,48.48,0,0,18.78",1.64684,52632,86676.48288,-29.53,-0.05,16.54,0.03,-29.53,-0.05,-2.39,0.00
5,Exit long,2023-01-30 09:15,Long Exit,1.65175,65789,108703.8226,-27.66,-0.03,34.09,0.04,-27.66,-0.03,-30.05,0.00
5,Entry long,2023-01-30 09:00," | F:70,16,1,0,0.95,0,1,53.7,1,0,28.31",1.65231,65789,108703.8226,-27.66,-0.03,34.09,0.04,-27.66,-0.03,-30.05,0.00
6,Exit long,2023-01-31 14:30,Long Exit,1.65724,64935,107649.8923,-27.64,-0.03,8.24,0.01,-27.64,-0.03,-57.69,0.00
6,Entry long,2023-01-31 14:15," | F:65,10,2,0,0.94,0,1,52.2,1,0,15.98",1.65781,64935,107649.8923,-27.64,-0.03,8.24,0.01,-27.64,-0.03,-57.69,0.00
7,Exit long,2023-02-14 16:40,Long Exit,1.62544,51020,82794.7458,101.35,0.16,101.35,0.16,-9.18,-0.01,43.66,0.00
7,Entry long,2023-02-14 16:30," | F:75,72,2,0,0.38,0,1,36.81,1,0,39.32",1.62279,51020,82794.7458,101.35,0.16,101.35,0.16,-9.18,-0.01,43.66,0.00
8,Exit short,2023-02-20 15:35,Short Exit,1.61957,94340,152759.1016,-23.09,-0.02,13.3,0.01,-23.09,-0.02,20.57,0.00
8,Entry short,2023-02-20 15:25," | F:65,9,2,1,0.74,0,0,50.1,0,0,11.86",1.61924,94340,152759.1016,-23.09,-0.02,13.3,0.01,-23.09,-0.02,20.57,0.00
9,Exit long,2023-02-20 17:25,Long Exit,1.6186,74627,120826.3369,-26.02,-0.03,17.71,0.02,-26.02,-0.03,-5.45,0.00
9,Entry long,2023-02-20 17:15," | F:50,8,2,0,0.99,0,0,49.27,0,0,11.98",1.61907,74627,120826.3369,-26.02,-0.03,17.71,0.02,-26.02,-0.03,-5.45,0.00
10,Exit short,2023-02-21 20:55,Short Exit,1.63886,98039,160641.8035,-22.58,-0.02,22.58,0.02,-22.58,-0.02,-28.03,0.00
10,Entry short,2023-02-21 20:45," | F:50,10,2,1,1.15,0,1,56.12,1,0,27.34",1.63855,98039,160641.8035,-22.58,-0.02,22.58,0.02,-22.58,-0.02,-28.03,0.00
11,Exit long,2023-02-24 17:05,Long Exit,1.62894,36496,59492.49456,-31.5,-0.07,2.15,0.00,-31.5,-0.07,-59.53,0.00
11,Entry long,2023-02-24 17:00," | F:70,7,2,0,0.73,0,1,54.5,1,0,14.99",1.63011,36496,59492.49456,-31.5,-0.07,2.15,0.00,-31.5,-0.07,-59.53,0.00
12,Exit long,2023-03-01 16:40,Long Exit,1.63663,43478,71198.70324,-30.25,-0.06,76.74,0.15,-30.25,-0.06,-89.79,0.00
12,Entry long,2023-03-01 16:00," | F:55,33,2,0,0.72,1,0,42.65,1,0,21.21",1.63758,43478,71198.70324,-30.25,-0.06,76.74,0.15,-30.25,-0.06,-89.79,0.00
13,Exit long,2023-03-06 08:55,Long Exit,1.63518,64935,106217.4263,-27.2,-0.03,6.68,0.01,-27.2,-0.03,-116.99,0.00
13,Entry long,2023-03-06 08:40," | F:65,101,0,0,1.38,0,1,39.67,1,0,26.03",1.63575,64935,106217.4263,-27.2,-0.03,6.68,0.01,-27.2,-0.03,-116.99,0.00
14,Exit long,2023-03-09 08:15,Long Exit,1.63568,100000,163598,-21.73,-0.02,10.87,0.01,-21.73,-0.02,-138.72,0.00
