Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-10 15:30,Long Exit,160.426,53345,8563472.85,-42.06,-0.06,55.41,0.09,-42.06,-0.06,-42.06,0.00
1,Entry long,2023-01-10 15:05," | F:70,9,2,0,0.85,0,1,47.9,0,0,15.24",160.53,53345,8563472.85,-42.06,-0.06,55.41,0.09,-42.06,-0.06,-42.06,0.00
2,Exit long,2023-01-19 18:30,Time Stop (Bars),158.79,22169,3517200.526,23.38,0.09,64.47,0.24,-40.92,-0.15,-18.68,0.00
2,Entry long,2023-01-19 15:30," | F:75,38,2,0,1.05,0,1,54.24,1,0,22.72",158.654,22169,3517200.526,23.38,0.09,64.47,0.24,-40.92,-0.15,-18.68,0.00
3,Exit short,2023-01-31 21:25,Short Exit,160.552,118321,18992531.96,-31.74,-0.02,14.51,0.01,-31.74,-0.02,-50.42,0.00
3,Entry short,2023-01-31 21:05," | F:75,19,2,1,0.7,1,0,60.34,1,0,12.45",160.517,118321,18992531.96,-31.74,-0.02,14.51,0.01,-31.74,-0.02,-50.42,0.00
4,Exit long,2023-02-09 14:30,Long Exit,158.886,66048,10499320.32,-39.7,-0.05,3.01,0.00,-39.7,-0.05,-90.12,0.00
4,Entry long,2023-02-09 14:25," | F:70,21,2,0,0.58,0,1,48.31,1,0,27.99",158.965,66048,10499320.32,-39.7,-0.05,3.01,0.00,-39.7,-0.05,-90.12,0.00
5,Exit long,2023-02-09 15:30,Long Exit,158.948,71040,11296780.8,-38.91,-0.05,36.75,0.04,-38.91,-0.05,-129.03,0.00
5,Entry long,2023-02-09 15:20," | F:70,10,2,0,1.15,0,1,50.56,1,0,21.47",159.02,71040,11296780.8,-38.91,-0.05,36.75,0.04,-38.91,-0.05,-129.03,0.00
6,Exit long,2023-02-10 09:10,Long Exit,159.12,38475,6127951.725,-44.17,-0.09,2.34,0.01,-44.17,-0.09,-173.2,0.00
6,Entry long,2023-02-10 09:00," | F:70,12,1,0,1.25,0,1,47.8,1,0,31.9",159.271,38475,6127951.725,-44.17,-0.09,2.34,0.01,-44.17,-0.09,-173.2,0.00
7,Exit long,2023-02-14 14:40,Long Exit,161.241,68143,10992692.47,-39.61,-0.05,29.84,0.04,-39.61,-0.05,-212.81,0.00
7,Entry long,2023-02-14 14:15," | F:75,16,2,0,0.48,0,1,57.7,1,0,43.2",161.318,68143,10992692.47,-39.61,-0.05,29.84,0.04,-39.61,-0.05,-212.81,0.00
8,Exit long,2023-02-20 08:50,Long Exit,161.369,113631,18340952.45,-33.02,-0.02,68.59,0.05,-33.02,-0.02,-245.84,0.00
8,Entry long,2023-02-20 08:20," | F:75,12,0,0,0.99,1,1,48.96,1,0,24.36",161.408,113631,18340952.45,-33.02,-0.02,68.59,0.05,-33.02,-0.02,-245.84,0.00
9,Exit long,2023-02-20 12:50,Long Exit,161.259,66403,10713460.02,-40.08,-0.05,25.24,0.03,-40.08,-0.05,-285.92,0.00
9,Entry long,2023-02-20 12:20," | F:55,7,1,0,0.7,0,0,44.27,1,0,25.11",161.34,66403,10713460.02,-40.08,-0.05,25.24,0.03,-40.08,-0.05,-285.92,0.00
10,Exit long,2023-02-23 09:00,Long Exit,162.717,140461,22832356.93,170.65,0.10,170.65,0.10,-7.28,0.00,-115.27,0.00
10,Entry long,2023-02-23 07:35," | F:55,10,0,0,0.51,1,0,48.92,1,0,18.69",162.553,140461,22832356.93,170.65,0.10,170.65,0.10,-7.28,0.00,-115.27,0.00
11,Exit long,2023-02-24 21:00,Long Exit,162.977,89743,14631070.52,-37.31,-0.03,42.63,0.04,-37.31,-0.03,-152.58,0.00
11,Entry long,2023-02-24 20:30," | F:70,8,2,0,0.69,0,1,55.85,1,0,18.69",163.033,89743,14631070.52,-37.31,-0.03,42.63,0.04,-37.31,-0.03,-152.58,0.00
12,Exit long,2023-02-28 20:10,Long Exit,164.109,98436,16159056.89,-35.39,-0.03,2.89,0.00,-35.39,-0.03,-187.97,0.00
12,Entry long,2023-02-28 20:05," | F:75,139,2,0,0.33,1,0,28.2,1,0,56.17",164.158,98436,16159056.89,-35.39,-0.03,2.89,0.00,-35.39,-0.03,-187.97,0.00
13,Exit short,2023-03-01 16:30,Short Exit,163.543,83929,13720880.78,-37.57,-0.04,9.85,0.01,-37.57,-0.04,-225.54,0.00
13,Entry short,2023-03-01 16:25," | F:80,14,2,1,0.92,1,0,57.92,1,0,24.05",163.482,83929,13720880.78,-37.57,-0.04,9.85,0.01,-37.57,-0.04,-225.54,0.00
14,Exit long,2023-03-03 16:40,Long Exit,163.119,59059,9639255.626,-41.01,-0.06,22.45,0.03,-41.01,-0.06,-266.55,0.00
14,Entry long,2023-03-03 16:00," | F:60,269,2,0,0.65,1,0,40.11,1,0,12.89",163.214,59059,9639255.626,-41.01,-0.06,22.45,0.03,-41.01,-0.06,-266.55,0.00
15,Exit short,2023-03-17 20:20,Short Exit,160.697,57918,9321612.51,107.43,0.15,107.43,0.15,-4.33,-0.01,-159.12,0.00
15,Entry short,2023-03-17 20:00," | F:70,8,2,1,0.7,0,0,58.12,0,0,22.28",160.945,57918,9321612.51,107.43,0.15,107.43,0.15,-4.33,-0.01,-159.12,0.00
16,Exit short,2023-03-20 20:55,Short Exit,161.246,72243,11666811.04,135.82,0.15,135.82,0.15,-18.07,-0.02,-23.3,0.00
16,Entry short,2023-03-20 20:25," | F:50,9,2,1,1.01,0,1,53.75,0,0,20.29",161.494,72243,11666811.04,135.82,0.15,135.82,0.15,-18.07,-0.02,-23.3,0.00
17,Exit long,2023-03-22 15:45,Long Exit,162.335,82919,13465631.01,-37.54,-0.04,25.65,0.03,-37.54,-0.04,-60.83,0.00
17,Entry long,2023-03-22 15:40," | F:75,76,2,0,1.5,0,0,20.43,1,0,43.78",162.395,82919,13465631.01,-37.54,-0.04,25.65,0.03,-37.54,-0.04,-60.83,0.00
18,Exit long,2023-03-29 19:45,Long Exit,163.27,108730,17756805.03,-34.05,-0.03,18.27,0.01,-34.05,-0.03,-94.88,0.00
18,Entry long,2023-03-29 19:35," | F:80,11,2,0,1.38,1,1,52.75,1,0,15.57",163.311,108730,17756805.03,-34.05,-0.03,18.27,0.01,-34.05,-0.03,-94.88,0.00
19,Exit long,2023-04-03 14:45,Long Exit,164.445,57788,9508437.52,-41.32,-0.06,19.57,0.03,-41.32,-0.06,-136.2,0.00
19,Entry long,2023-04-03 14:35," | F:70,34,1,0,0.95,0,1,43.07,1,0,24.96",164.54,57788,9508437.52,-41.32,-0.06,19.57,0.03,-41.32,-0.06,-136.2,0.00
20,Exit long,2023-04-03 17:15,Long Exit,164.232,31856,5237763.52,-45.08,-0.11,7.67,0.02,-45.08,-0.11,-181.28,0.00
20,Entry long,2023-04-03 17:05," | F:70,87,2,0,0.56,0,1,38.23,1,0,19.83",164.42,31856,5237763.52,-45.08,-0.11,7.67,0.02,-45.08,-0.11,-181.28,0.00
21,Exit long,2023-04-04 17:40,Long Exit,164.729,50687,8355194.393,-42.09,-0.07,53.57,0.08,-42.09,-0.07,-223.37,0.00
21,Entry long,2023-04-04 17:25," | F:75,96,2,0,0.46,1,0,14.07,1,0,60.21",164.839,50687,8355194.393,-42.09,-0.07,53.57,0.08,-42.09,-0.07,-223.37,0.00
22,Exit long,2023-04-04 19:05,Long Exit,164.341,42457,6983157.532,-43.27,-0.08,55.77,0.11,-43.27,-0.08,-266.64,0.00
22,Entry long,2023-04-04 18:40," | F:75,181,2,0,0.6,1,0,21.29,1,0,58.94",164.476,42457,6983157.532,-43.27,-0.08,55.77,0.11,-43.27,-0.08,-266.64,0.00
23,Exit short,2023-04-06 17:30,Short Exit,163.862,46065,7542637.035,-43.15,-0.08,24.91,0.04,-43.15,-0.08,-309.79,0.00
23,Entry short,2023-04-06 17:10," | F:70,18,2,1,1.33,0,1,54.53,1,0,21.85",163.739,46065,7542637.035,-43.15,-0.08,24.91,0.04,-43.15,-0.08,-309.79,0.00
24,Exit long,2023-04-10 15:20,Long Exit,164.672,53688,8846493.888,-42.26,-0.06,0,0.00,-42.26,-0.06,-352.04,0.00
24,Entry long,2023-04-10 15:15," | F:75,10,2,0,0.48,1,1,57.48,1,0,42.33",164.776,53688,8846493.888,-42.26,-0.06,0,0.00,-42.26,-0.06,-352.04,0.00
25,Exit long,2023-04-11 11:40,Long Exit,165.37,70034,11586775.13,-39.31,-0.05,134.18,0.15,-39.31,-0.05,-391.35,0.00
25,Entry long,2023-04-11 10:40," | F:70,23,1,0,0.79,0,1,41.27,1,0,19.68",165.445,70034,11586775.13,-39.31,-0.05,134.18,0.15,-39.31,-0.05,-391.35,0.00
26,Exit long,2023-04-24 20:50,Long Exit,167.716,92033,15416723.93,139.26,0.12,139.26,0.12,-15.78,-0.01,-252.09,0.00
26,Entry long,2023-04-24 20:05," | F:80,9,2,0,0.84,1,1,52.7,1,0,18.54",167.513,92033,15416723.93,139.26,0.12,139.26,0.12,-15.78,-0.01,-252.09,0.00
27,Exit long,2023-04-27 12:45,Long Exit,166.66,60263,10048915.51,-41.03,-0.05,8.57,0.01,-41.03,-0.05,-293.12,0.00
27,Entry long,2023-04-27 12:30," | F:70,23,1,0,0.85,0,1,45.33,1,0,17.1",166.751,60263,10048915.51,-41.03,-0.05,8.57,0.01,-41.03,-0.05,-293.12,0.00
28,Exit long,2023-05-02 22:05,Long Exit,170.278,92277,15717725.96,-36.22,-0.03,101.96,0.09,-36.22,-0.03,-329.34,0.00
28,Entry long,2023-05-02 21:20," | F:50,12,2,0,0.54,0,0,47.96,1,0,17.19",170.332,92277,15717725.96,-36.22,-0.03,101.96,0.09,-36.22,-0.03,-329.34,0.00
29,Exit long,2023-05-05 14:45,Long Exit,169.136,94540,15994938.98,-35.91,-0.03,9.86,0.01,-35.91,-0.03,-365.25,0.00
29,Entry long,2023-05-05 14:40," | F:75,20,1,0,0.74,0,1,46.82,1,0,15.2",169.187,94540,15994938.98,-35.91,-0.03,9.86,0.01,-35.91,-0.03,-365.25,0.00
30,Exit long,2023-05-12 15:25,Long Exit,168.839,53562,9049032.09,-42.17,-0.06,13.53,0.02,-42.17,-0.06,-407.42,0.00
30,Entry long,2023-05-12 15:05," | F:80,14,2,0,0.82,1,1,56.41,0,0,8.77",168.945,53562,9049032.09,-42.17,-0.06,13.53,0.02,-42.17,-0.06,-407.42,0.00
31,Exit long,2023-05-15 10:35,Long Exit,169.788,59064,10013592.43,108.74,0.15,108.74,0.15,0,0.00,-298.69,0.00
31,Entry long,2023-05-15 10:25," | F:70,45,1,0,0.72,0,1,38.57,1,0,30.29",169.538,59064,10013592.43,108.74,0.15,108.74,0.15,0,0.00,-298.69,0.00
32,Exit long,2023-05-24 17:10,Long Exit,171.841,53003,9113971.856,-42.46,-0.06,2.3,0.00,-42.46,-0.06,-341.15,0.00
32,Entry long,2023-05-24 17:00," | F:75,19,2,0,0.98,1,1,53.04,1,0,23.67",171.952,53003,9113971.856,-42.46,-0.06,2.3,0.00,-42.46,-0.06,-341.15,0.00
33,Exit long,2023-05-25 09:00,Long Exit,172.185,61227,10548126.33,-41.27,-0.05,56.63,0.07,-41.27,-0.05,-382.41,0.00
33,Entry long,2023-05-25 08:10," | F:70,72,0,0,0.54,0,1,45.12,1,0,20.14",172.279,61227,10548126.33,-41.27,-0.05,56.63,0.07,-41.27,-0.05,-382.41,0.00
34,Exit long,2023-05-25 16:35,Long Exit,172.193,38765,6681264.045,-44.47,-0.09,8.34,0.02,-44.47,-0.09,-426.88,0.00
34,Entry long,2023-05-25 16:30," | F:70,13,2,0,1.19,0,0,43.05,1,0,16.47",172.353,38765,6681264.045,-44.47,-0.09,8.34,0.02,-44.47,-0.09,-426.88,0.00
35,Exit long,2023-05-29 15:30,Long Exit,173.068,146104,25290017.98,-29.08,-0.02,13.5,0.01,-29.08,-0.02,-455.96,0.00
35,Entry long,2023-05-29 15:20," | F:60,34,2,0,1.12,1,0,41.31,1,0,23.14",173.096,146104,25290017.98,-29.08,-0.02,13.5,0.01,-29.08,-0.02,-455.96,0.00
36,Exit long,2023-06-05 21:20,Long Exit,173.649,102746,17846671.96,-35.23,-0.03,60.91,0.05,-35.23,-0.03,-491.19,0.00
36,Entry long,2023-06-05 20:40," | F:50,16,2,0,0.67,0,0,54.15,1,0,22.27",173.697,102746,17846671.96,-35.23,-0.03,60.91,0.05,-35.23,-0.03,-491.19,0.00
37,Exit long,2023-06-09 15:30,Long Exit,175.008,69712,12205734.66,-40.14,-0.05,88.3,0.10,-40.14,-0.05,-531.33,-0.01
37,Entry long,2023-06-09 14:35," | F:80,47,1,0,1.32,1,1,49.79,1,0,10.48",175.088,69712,12205734.66,-40.14,-0.05,88.3,0.10,-40.14,-0.05,-531.33,-0.01
38,Exit long,2023-06-15 14:30,Long Exit,178.833,138351,24717789.66,170.85,0.10,170.85,0.10,-10.86,-0.01,-360.48,0.00
38,Entry long,2023-06-15 14:15," | F:80,12,1,0,1.04,1,1,48.32,1,0,17.69",178.66,138351,24717789.66,170.85,0.10,170.85,0.10,-10.86,-0.01,-360.48,0.00
39,Exit long,2023-06-19 15:25,Long Exit,181.655,90926,16522436.24,-37.17,-0.03,19.23,0.02,-37.17,-0.03,-397.65,0.00
39,Entry long,2023-06-19 15:05," | F:70,13,2,0,0.71,0,1,43.25,1,0,20.31",181.713,90926,16522436.24,-37.17,-0.03,19.23,0.02,-37.17,-0.03,-397.65,0.00
40,Exit long,2023-06-19 16:55,Long Exit,181.427,109041,19787888.35,-34.58,-0.02,31.51,0.02,-34.58,-0.02,-432.24,0.00
40,Entry long,2023-06-19 16:45," | F:70,100,2,0,1.39,0,0,30.06,1,0,33.32",181.472,109041,19787888.35,-34.58,-0.02,31.51,0.02,-34.58,-0.02,-432.24,0.00
41,Exit long,2023-06-22 07:20,Long Exit,180.92,133706,24194501.82,-31.1,-0.02,6.6,0.00,-31.1,-0.02,-463.33,0.00
41,Entry long,2023-06-22 07:10," | F:65,8,0,0,0.64,0,1,50.91,1,0,18.29",180.953,133706,24194501.82,-31.1,-0.02,6.6,0.00,-31.1,-0.02,-463.33,0.00
42,Exit long,2023-06-27 22:30,Long Exit,183.756,91154,16730222.85,138.45,0.12,138.45,0.12,-7.62,-0.01,-324.89,0.00
42,Entry long,2023-06-27 20:40," | F:75,16,2,0,1.05,0,1,50.68,1,0,18.03",183.538,91154,16730222.85,138.45,0.12,138.45,0.12,-7.62,-0.01,-324.89,0.00
43,Exit long,2023-06-29 18:10,Long Exit,182.41,59272,10817851.26,-41.86,-0.06,15.6,0.02,-41.86,-0.06,-366.75,0.00
43,Entry long,2023-06-29 17:45," | F:80,13,2,0,0.63,1,0,49.28,1,0,13.44",182.512,59272,10817851.26,-41.86,-0.06,15.6,0.02,-41.86,-0.06,-366.75,0.00
44,Exit long,2023-07-14 18:05,Long Exit,181.78,54073,9814465.792,108.05,0.15,108.05,0.15,-8.61,-0.01,-258.7,0.00
44,Entry long,2023-07-14 17:45," | F:80,72,2,0,0.38,1,1,33.65,1,0,27.12",181.504,54073,9814465.792,108.05,0.15,108.05,0.15,-8.61,-0.01,-258.7,0.00
45,Exit long,2023-07-26 20:45,Long Exit,181.439,85730,15560080.73,-37.69,-0.03,18.24,0.02,-37.69,-0.03,-296.39,0.00
45,Entry long,2023-07-26 20:25," | F:70,22,2,0,0.63,0,1,46.64,1,0,33.38",181.501,85730,15560080.73,-37.69,-0.03,18.24,0.02,-37.69,-0.03,-296.39,0.00
46,Exit long,2023-07-27 16:40,Long Exit,180.878,57683,10439469.34,-41.94,-0.06,9.05,0.01,-41.94,-0.06,-338.33,0.00
46,Entry long,2023-07-27 16:35," | F:45,137,2,0,0.76,0,0,28.79,1,0,40.2",180.98,57683,10439469.34,-41.94,-0.06,9.05,0.01,-41.94,-0.06,-338.33,0.00
47,Exit long,2023-08-01 09:30,Long Exit,182.974,100442,18383397.05,-36,-0.03,4.23,0.00,-36,-0.03,-374.32,0.00
47,Entry long,2023-08-01 09:25," | F:75,25,0,0,0.68,1,1,46.96,1,0,15.64",183.025,100442,18383397.05,-36,-0.03,4.23,0.00,-36,-0.03,-374.32,0.00
48,Exit long,2023-08-01 17:55,Long Exit,182.711,56424,10315322.83,-42.42,-0.06,31.32,0.04,-42.42,-0.06,-416.75,0.00
48,Entry long,2023-08-01 17:45," | F:70,24,2,0,0.73,0,0,44.85,1,0,14.98",182.818,56424,10315322.83,-42.42,-0.06,31.32,0.04,-42.42,-0.06,-416.75,0.00
49,Exit long,2023-08-02 16:10,Long Exit,182.03,84112,15316374.64,-38.28,-0.04,80.09,0.07,-38.28,-0.04,-455.03,0.00
49,Entry long,2023-08-02 15:45," | F:55,45,2,0,1.08,0,0,34.29,1,0,14.94",182.095,84112,15316374.64,-38.28,-0.04,80.09,0.07,-38.28,-0.04,-455.03,0.00
50,Exit long,2023-08-09 18:50,Long Exit,182.564,57913,10578851.88,-41.99,-0.06,16.15,0.02,-41.99,-0.06,-497.01,0.00
50,Entry long,2023-08-09 18:30," | F:80,21,2,0,0.42,1,1,45.99,1,0,19.14",182.668,57913,10578851.88,-41.99,-0.06,16.15,0.02,-41.99,-0.06,-497.01,0.00
51,Exit long,2023-08-10 16:10,Long Exit,183.96,34165,6269960.8,104.58,0.24,104.58,0.24,-41.6,-0.10,-392.43,0.00
51,Entry long,2023-08-10 15:25," | F:75,54,2,0,1.13,0,1,43.34,1,0,13.77",183.52,34165,6269960.8,104.58,0.24,104.58,0.24,-41.6,-0.10,-392.43,0.00
52,Exit long,2023-08-15 13:30,Time Stop (Bars),185.02,45553,8427623.871,4.07,0.01,92.91,0.16,-43.48,-0.08,-388.36,0.00
52,Entry long,2023-08-15 10:30," | F:75,15,1,0,0.9,1,1,53,1,0,31.09",185.007,45553,8427623.871,4.07,0.01,92.91,0.16,-43.48,-0.08,-388.36,0.00
53,Exit long,2023-08-17 21:30,Long Exit,186.174,166157,30938101.09,-27.24,-0.01,1.14,0.00,-27.24,-0.01,-415.61,0.00
53,Entry long,2023-08-17 21:25," | F:80,33,2,0,0.47,1,1,35.09,1,0,22.79",186.198,166157,30938101.09,-27.24,-0.01,1.14,0.00,-27.24,-0.01,-415.61,0.00
