Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-06 17:45,Short Exit,132.535,9105,1220315.835,101.78,1.11,101.78,1.11,-11.05,-0.12,101.78,0.00
1,Entry short,2023-01-06 15:30," | F:60,6,2,1,0.59,1,1,27,1,0,35.48,0",134.027,9105,1220315.835,101.78,1.11,101.78,1.11,-11.05,-0.12,101.78,0.00
2,Exit long,2023-01-10 17:40,Long Exit,132.228,39483,5206781.142,105.97,0.27,105.97,0.27,-10.18,-0.03,207.75,0.00
2,Entry long,2023-01-10 16:35," | F:60,62,2,0,0.53,1,0,35.53,0,0,31.15,0",131.874,39483,5206781.142,105.97,0.27,105.97,0.27,-10.18,-0.03,207.75,0.00
3,Exit short,2023-01-13 16:35,Short Exit,128.032,76347,9792418.914,135.75,0.18,135.75,0.18,-7.08,-0.01,343.5,0.00
3,Entry short,2023-01-13 16:20," | F:80,8,2,1,0.12,1,0,39.78,0,0,25.92,0",128.262,76347,9792418.914,135.75,0.18,135.75,0.18,-7.08,-0.01,343.5,0.00
4,Exit long,2023-01-19 16:00,Long Exit,128.356,26134,3360361.988,-45.8,-0.18,16.42,0.06,-45.8,-0.18,297.7,0.00
4,Entry long,2023-01-19 15:30," | F:75,41,2,0,0.39,0,1,54.08,0,0,20.61,0",128.582,26134,3360361.988,-45.8,-0.18,16.42,0.06,-45.8,-0.18,297.7,0.00
5,Exit long,2023-01-23 09:15,Long Exit,130.165,108302,14075469.43,167.13,0.15,167.13,0.15,-23.4,-0.02,464.83,0.00
5,Entry long,2023-01-23 09:05," | F:65,10,1,0,1.02,0,1,57.38,1,0,37.89,0",129.965,108302,14075469.43,167.13,0.15,167.13,0.15,-23.4,-0.02,464.83,0.00
6,Exit long,2023-01-24 17:40,Long Exit,130.28,48293,6297165.735,-42.49,-0.09,25.13,0.05,-42.49,-0.09,422.34,0.00
6,Entry long,2023-01-24 17:30," | F:70,22,2,0,0.35,0,1,44.29,1,0,27.93,0",130.395,48293,6297165.735,-42.49,-0.09,25.13,0.05,-42.49,-0.09,422.34,0.00
7,Exit short,2023-01-25 20:00,Short Exit,129.528,46367,6019734.876,106.84,0.23,106.84,0.23,-21.37,-0.05,529.19,0.01
7,Entry short,2023-01-25 18:10," | F:80,27,2,1,0.81,1,0,58.76,0,0,22.5,0",129.828,46367,6019734.876,106.84,0.23,106.84,0.23,-21.37,-0.05,529.19,0.01
8,Exit long,2023-01-30 14:30,Long Exit,130.1,92961,12098874.15,-35.79,-0.04,18.61,0.02,-35.79,-0.04,493.4,0.00
