Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2024-01-03 04:20,Short Exit,2064.13,42,86652.3,-41.16,-0.05,18.06,0.02,-41.16,-0.05,-41.16,0.00
1,Entry short,2024-01-03 04:15," | F:50,82,0,1,0.82,0,0,62.32",2063.15,42,86652.3,-41.16,-0.05,18.06,0.02,-41.16,-0.05,-41.16,0.00
2,Exit short,2024-01-04 09:25,Short Exit,2048.58,25,51169,-45.5,-0.09,40.5,0.08,-45.5,-0.09,-86.66,0.00
2,Entry short,2024-01-04 08:25," | F:70,212,0,1,1.35,0,1,68.43",2046.76,25,51169,-45.5,-0.09,40.5,0.08,-45.5,-0.09,-86.66,0.00
3,Exit long,2024-01-04 15:20,Long Exit,2043.2,28,57253.56,-43.96,-0.08,65.52,0.11,-43.96,-0.08,-130.62,0.00
3,Entry long,2024-01-04 14:05," | F:50,78,2,0,0.85,0,0,32.86",2044.77,28,57253.56,-43.96,-0.08,65.52,0.11,-43.96,-0.08,-130.62,0.00
4,Exit long,2024-01-05 01:30,Long Exit,2042.75,37,75623.93,-42.18,-0.06,28.49,0.04,-42.18,-0.06,-172.8,0.00
4,Entry long,2024-01-05 01:05," | F:50,31,3,0,0.71,0,0,54.98",2043.89,37,75623.93,-42.18,-0.06,28.49,0.04,-42.18,-0.06,-172.8,0.00
5,Exit long,2024-01-09 15:35,Long Exit,2036.54,30,60989.4,106.8,0.18,106.8,0.18,-2.7,0.00,-66,0.00
5,Entry long,2024-01-09 15:25," | F:75,60,2,0,1.05,0,0,38.83",2032.98,30,60989.4,106.8,0.18,106.8,0.18,-2.7,0.00,-66,0.00
6,Exit short,2024-01-10 19:50,Short Exit,2024.06,47,95264.77,133.95,0.14,133.95,0.14,-35.72,-0.04,67.95,0.00
6,Entry short,2024-01-10 19:00," | F:70,11,2,1,0.83,0,0,48.66",2026.91,47,95264.77,133.95,0.14,133.95,0.14,-35.72,-0.04,67.95,0.00
7,Exit short,2024-01-12 07:50,Short Exit,2035.09,63,128172.87,-37.8,-0.03,52.92,0.04,-37.8,-0.03,30.15,0.00
7,Entry short,2024-01-12 07:00," | F:50,20,0,1,0.61,0,1,57.14",2034.49,63,128172.87,-37.8,-0.03,52.92,0.04,-37.8,-0.03,30.15,0.00
8,Exit short,2024-01-15 15:10,Short Exit,2053.38,57,117003.9,-38.76,-0.03,17.1,0.01,-38.76,-0.03,-8.61,0.00
8,Entry short,2024-01-15 15:00," | F:50,13,2,1,0.7,0,1,49.37",2052.7,57,117003.9,-38.76,-0.03,17.1,0.01,-38.76,-0.03,-8.61,0.00
9,Exit long,2024-01-16 03:00,Long Exit,2050.69,39,80018.64,-41.73,-0.05,23.79,0.03,-41.73,-0.05,-50.34,0.00
9,Entry long,2024-01-16 02:40," | F:75,76,0,0,2.06,0,0,35.89",2051.76,39,80018.64,-41.73,-0.05,23.79,0.03,-41.73,-0.05,-50.34,0.00
10,Exit long,2024-01-17 05:30,Long Exit,2026.4,68,137831.24,-36.04,-0.03,16.32,0.01,-36.04,-0.03,-86.38,0.00
10,Entry long,2024-01-17 05:20," | F:50,38,0,0,0.88,0,0,39.28",2026.93,68,137831.24,-36.04,-0.03,16.32,0.01,-36.04,-0.03,-86.38,0.00
11,Exit short,2024-01-18 11:35,Short Exit,2012.88,45,90538.65,-40.95,-0.05,13.5,0.01,-40.95,-0.05,-127.33,0.00
11,Entry short,2024-01-18 11:30," | F:55,21,1,1,0.8,0,1,59.01",2011.97,45,90538.65,-40.95,-0.05,13.5,0.01,-40.95,-0.05,-127.33,0.00
12,Exit long,2024-01-18 18:30,Time Stop (Bars),2015.77,9,18110.25,31.68,0.17,48.42,0.27,-35.1,-0.19,-95.65,0.00
